"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Adaxial","Somite1","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","","",""
"0","0","","2","45","1435.3813369646584","112.99201391790237","495.648397139773","5.09799257291684","1506.0","113.0","593.0132893373474","392.7936648393713","157.724692045894","2.393920493691635","476885.0","37018.0","0","61","0","1","0"
"1","1","","2","52","950.0418327090065","110.35491513053275","119.73745346285621","5.216114166436181","962.0","109.0","579.999965972976","402.0018863420258","148.7485874243073","2.393920493691635","313105.0","35639.0","19","61","0","1","0"
"2","2","","1","60","1395.1104045102115","152.16013496942165","266.86770958011806","16.796593439346257","1462.5","152.0","620.4343347837457","379.1474075855118","137.67814950003836","2.6333125430607995","594825.0","63816.0","162","61","0","1","0"
"3","3","","2","53","1362.3108830043545","121.62099414172528","339.6526467724235","8.901474862167014","1476.5","119.0","600.925838740821","394.97524581821443","149.17509617489424","2.6333125430607995","578041.0","51491.0","85","61","0","1","0"
"4","4","","1","60","1600.2414235257932","124.5900608925918","377.3845846207432","9.81428166420548","1775.5","125.0","616.4590140260835","393.09190430814823","138.09571796031636","2.6333125430607995","699615.0","52940.0","120","61","0","1","0"
"5","5","","1","60","1471.0987607549532","117.41880771001267","248.92155906613348","6.90485917933048","1480.5","116.0","630.5070227835795","404.79198234733377","138.74430982944799","2.6333125430607995","641218.0","50560.0","161","61","0","1","0"
"6","6","","2","35","1476.4779428100826","106.3075250520143","186.50611436326423","3.6054017678592154","1587.5","106.0","552.3525486336341","417.1704453685978","159.77350440116885","2.2825136323633135","373400.0","26151.0","183","61","0","1","0"
"7","7","","1","60","1488.4394243985032","130.2246120753415","250.27871144839293","13.70834777510302","1615.0","132.0","614.362888602087","400.3623421672668","135.770515812237","2.2825136323633135","382219.0","33135.0","132","61","0","1","0"
"8","8","460.37182949665095","2","27","1095.9427217989055","107.33109954997612","210.27660458408164","4.124083804544803","1174.5","107.0","531.7334523337248","394.4598570715393","164.6871052737181","2.6333125430607995","465738.0","44848.0","43","97","0","1","0"
"9","9","","1","60","1493.0471977920556","113.98205272162733","302.56264251591347","5.862200788633137","1588.0","114.0","591.2492175832602","382.2450069579929","135.0507644646247","2.2825136323633135","442278.0","33572.0","37","61","0","1","0"
"10","10","","1","60","1492.2092557019078","106.76569719140839","284.2283710351592","3.4590832229461617","1680.0","106.5","600.9132493216888","406.45495583225187","134.428418799721","2.2825136323633135","397054.0","27897.0","163","61","0","1","0"
"11","11","","2","35","1481.1130873773516","105.90534902086333","220.70233598931242","3.2741602676679333","1538.0","106.0","524.3666644080615","424.84890031618994","147.26373212851013","2.2825136323633135","417625.0","29295.0","168","99","0","1","0"
"12","12","","1","60","1359.1868104784241","107.8463711437755","240.88284400595893","3.9773925017546654","1427.5","107.0","605.3614845968643","418.65207647459096","132.4487046739878","2.2825136323633135","380524.0","29946.0","137","61","0","1","0"
"13","13","","1","60","1237.9673980809544","116.48927950634243","393.9813321333035","8.371891808455535","1550.5","116.0","616.1546525616027","412.23398114539935","132.52510054881694","2.2825136323633135","340619.0","31352.0","46","61","0","1","0"
"14","14","","1","60","1216.6005890791776","110.24998785057747","208.55678018622385","4.878164655765865","1282.0","111.0","610.6526175540423","407.1409110430598","132.54812996357276","2.2825136323633135","327047.0","28886.0","189","61","0","1","0"
"15","15","","1","60","1243.0924936825074","123.12258782815984","353.595713357128","9.905657777496765","1495.0","124.0","619.918450429431","396.5485650794772","132.5250002283752","2.2825136323633135","344514.0","33320.0","179","61","0","1","0"
"16","16","","1","60","1520.024946695613","120.38669957784748","289.2682252578847","8.411868536736938","1695.5","122.0","628.7769939476598","396.44404413649613","132.67782581475427","2.2825136323633135","405930.0","30652.0","127","89","0","1","0"
"17","17","","2","52","1061.4553124997933","113.86623523487624","122.95943948828779","5.88382769289066","1107.0","113.0","553.6001619536509","375.36904515089515","145.26336305291028","2.2825136323633135","310331.0","32928.0","164","61","0","1","0"
"18","18","","1","60","1298.6822346796678","123.50529075007186","203.11385252706276","9.217267269949817","1385.5","125.0","634.2570494863328","400.90420408178795","133.90314365325173","2.2825136323633135","375565.0","34962.0","57","61","0","1","0"
"19","19","","2","56","1355.9897523828852","105.8882602028247","196.0416464893343","3.4740063086950315","1377.0","105.0","602.8792273480735","421.5437443855727","146.00206153618223","2.393920493691635","426777.0","32957.0","16","62","0","1","0"
"20","20","","2","42","1587.9183374279025","105.3528849535246","232.07888241483727","3.2575569765723613","1607.0","105.0","566.5399165982357","423.24349783760476","152.91873490758041","2.2825136323633135","465594.0","30555.0","113","72","0","1","0"
"21","21","","1","60","1517.1454878727964","107.72523721156561","278.42059653912975","4.023743822318503","1623.0","108.0","589.7259289171587","409.4360981422736","129.43080409985905","2.2825136323633135","430482.0","29683.0","121","61","0","1","0"
"22","22","","2","45","1631.0725310705868","107.78010804484975","565.1720043293184","4.151245398026999","1677.5","107.0","531.5672063388914","396.9799392533721","127.00017054144426","2.510764995599645","570250.0","38732.0","130","78","0","1","0"
"23","23","","2","56","1634.1399407702352","107.24808299031922","219.64609366360426","3.6410288938305797","1671.5","107.0","582.9195276665524","406.73270049915624","132.45328659635348","2.2825136323633135","455171.0","29667.0","70","61","0","1","0"
"24","24","","1","60","1299.3255289829294","109.22632384450101","393.2852849980179","4.185004893786714","1242.0","109.0","595.1177984732457","393.5486341743206","129.61204914828957","2.2825136323633135","349246.0","28785.0","107","61","0","1","0"
"25","25","","1","60","1185.5271053795054","115.82328853842341","416.3215425368804","6.174640354681654","1051.5","116.0","602.1420972826353","385.29762846043394","129.61200854471986","2.2825136323633135","308697.0","30009.0","142","61","0","1","0"
"26","26","","1","60","1445.8010906894779","112.33082451590819","267.1114136105225","4.943327420080268","1525.5","112.0","588.496167260292","386.42200122498906","129.6120478003861","2.2825136323633135","385191.0","29174.0","98","61","0","1","0"
"27","27","","2","51","1216.6766017555822","108.62067528390818","178.4811790798928","4.26467905845982","1313.5","109.0","555.2712458105792","389.81518048323454","140.21445113611372","2.2825136323633135","310464.0","26880.0","24","61","0","1","0"
"28","28","","1","60","1387.2652436585383","115.67462747091632","219.35909364479093","6.877021520134776","1463.0","116.0","594.9089975966085","376.74545893961215","126.92348580035285","2.2825136323633135","377130.0","30694.0","138","61","0","1","0"
"29","29","","1","60","1570.619637926353","169.1554879612658","307.73349452358383","25.044573475168757","1701.5","170.0","617.9258994771918","381.8303430254782","126.16983805918845","2.2825136323633135","457273.0","48693.0","14","94","0","1","0"
"30","30","","1","60","1405.2732097679725","128.3123446569835","225.46226491884934","9.837469830830406","1461.0","128.5","611.4102005423883","388.1462745928959","126.16987216668501","2.2825136323633135","408996.0","36375.0","90","61","0","1","0"
"31","31","","1","60","1455.3512094487107","127.7538259177409","214.2032687695311","8.61060264240754","1502.0","128.0","626.7875290212771","387.5305637398056","126.16982966178665","2.2825136323633135","436806.0","37631.0","127","89","0","1","0"
"32","32","","1","60","1453.1962352363234","150.34923947889536","246.5019768107323","17.19493141528683","1504.0","152.5","632.7974383089381","392.4169471539108","127.32136301194761","2.2825136323633135","422339.0","42997.0","11","62","0","1","0"
"33","33","","1","60","1382.7205588314707","117.36496123082196","352.2744469844771","7.0277099811346675","1538.0","117.0","614.8803994501407","404.5411082856239","127.63425039734516","2.2825136323633135","402280.0","33910.0","10","61","0","1","0"
"34","34","","1","60","1455.7359516215147","131.2744837909846","299.27673457199563","18.053633133409566","1559.0","129.5","622.4147865725718","403.1130682951473","127.50092818184906","2.2825136323633135","435438.0","38521.0","52","91","0","1","0"
"35","35","","2","30","1655.6256834123824","108.26164408106027","239.0004670858133","4.073397809342683","1752.0","108.0","480.83436374258497","396.30591798131013","135.46803319571916","2.2825136323633135","456433.0","29491.0","82","61","0","1","0"
"36","36","","1","60","1547.5407855197877","107.11470548381432","249.0043377758529","3.8425464253349735","1598.5","107.0","576.2238918627013","388.0938991821586","124.82341432888019","2.2825136323633135","449284.0","30394.0","182","61","0","1","0"
"37","37","","1","60","1325.7670800887222","108.42009981730811","270.05072544593503","3.7386419097958976","1443.5","109.0","568.7908620014186","386.01158799111744","123.19266971062486","2.2825136323633135","382287.0","30885.0","82","61","0","1","0"
"38","38","","1","60","1197.805065295225","118.79938176737976","302.51298327969687","8.801150510524016","1321.0","119.0","597.288379347994","386.0115879911174","120.34078478264185","3.0380256446755705","786032.0","77737.0","136","61","0","1","0"
