Looping,Looping,Looping,Looping,Looping,Looping,Mesp,Mesp,Mesp,Mesp,Mesp,Mesp
416_16(2),416_41(4),416_40(6),416_11(6),416_47(5),416_30(6),416_16(2),416_41(4),416_40(6),416_11(6),416_47(5),416_30(6)
1580.70362,1401.207416,1237.321789,1380.747,1149.213828,1356.627066,942.9966063,937.4692932,936.5844156,970.361,976.5275288,933.1849174
1560.554204,1305.198032,1189.77763,1376.355698,1173.826622,1524.816514,928.1338496,955.0602706,948.9374168,961.172524,981.6834452,962.8130734
1417.257642,1261.223131,1128.186076,1350.6766,1295.689727,1490.190733,928.8220524,936.7873832,937.3329114,967.7472406,962.2023061,951.705819
1287.979052,1318.21989,1113.508065,1301.206161,1335.836216,1434.118454,926.7629548,938.9524862,941.3790323,966.1954976,948.4771109,952.4812968
1361.934054,1388.633257,1156.493622,1201.831878,1281.612669,1270.55467,929.4713514,935.998861,929.0471939,948.6582969,951.5160955,935.9168565
1768.763301,1350.158134,1175.518954,1196.603062,1233.902576,1237.647577,924.1422367,943.0637088,931.6797386,979.7267373,952.6584546,945.5011013
2169.930055,1239.484848,1162.05483,1233.459489,1228.476591,1330.964013,922.736612,938.8764569,932.6253264,949.3440622,952.9147659,933.5921483
2245.874194,1218.401639,1150.544139,1366.978434,1351.695498,1497.195043,920.5913978,950.8864169,942.5918958,965.9500568,956.5829384,943.9956897
2066.318376,1378.391954,1127.694938,1350.9,1370.762322,1463.938285,930.1762821,929.7701149,940.4897401,953.2520833,951.7228916,937.1558577
1859.331901,1451.866091,1282.44201,1315.127401,1323.478604,1403.070099,914.7948443,944.1079914,927.9742268,959.9848332,960.1002252,945.8871851
1621.486052,1484.704784,1494.642177,1247.454087,1250.708848,1268.190871,937.8969957,962.5274212,940.2272109,971.2855701,958.1502058,954.8724066
1432.71521,1325.040816,1452.249392,1200.290497,1190.734322,1202.677005,919.6806904,932.3843537,939.5961071,960.6511879,947.2417332,945.942246
1519.888274,1235.760181,1406.136591,1349.908691,1309.970621,1216.258985,932.6006637,947.5882353,942.5576441,959.950495,978.2553672,953.5137421
1839.248643,1281.741685,1288.908513,1653.309499,1561.965011,1354.720572,953.0814332,964.7050998,949.9390089,977.5362615,975.6207675,961.2970297
1980.808714,1543.350562,1186.533499,1839.334002,1549.959358,1434.242024,934.8310308,929.1438202,922.8424318,957.1755266,942.4973262,950.6050605
1911.208195,1688.22807,1316.746212,1863.869892,1487.961154,1390.506792,948.3012182,953.8486842,947.1780303,956.8225806,975.1054384,958.9038662
1738.0033,1553.617904,1436.758534,1810.036184,1349.04878,1294.405436,948.2024202,940.6080786,937.0265487,972.4649123,968.8780488,954.1098528
1509.413348,1435.992009,1450.18262,1608.280374,1244.592179,1209.847403,924.8675996,948.5365297,921.0768262,961.6126687,972.8145251,957.0606061
1341.101433,1312.891164,1410.284818,1457.57734,1328.290023,1186.865556,983.7464168,960.3868534,949.3839398,958.9753695,983.0266821,965.04
1216.651844,1214.426566,1294.469027,1535,1584.248144,1217.404321,971.1095445,931.5215983,938.6396966,967.6591837,952.864263,943.7222222
1156.308602,1419.538206,1216.076642,1947.658991,1790.826754,1482.115132,1063.870968,949.648948,928.5085158,985.9002193,1005.908991,968.0383772
1147.914989,1713.276596,1214.148699,2060.077543,1728.973594,1642.053115,1102.159955,978.7054871,923.4188352,970.3615307,1006.525832,959.1889683
1124.228296,1777.876452,1444.060489,2029.018443,1558.928026,1691.051525,1161.897106,970.2756072,930.5778636,982.4098361,1001.411123,971.9474238
1148,1752.312636,1761.856417,1891.229424,1401.051479,1582.023933,1271.629252,985.2745098,963.5273189,978.5936214,1012.403067,983.6638918
1128.992489,1588.796256,1846.430218,1685.578895,1278.074032,1438.975135,1292.320815,970.1817181,933.6235595,978.0769231,1010.056948,963.1275676
1135.574651,1437.851366,1767.339506,1505.584665,1351.008083,1318.666292,1364.295381,981.5584699,948.8864198,954.6251331,1035.534642,975.805618
1131.424312,1300.873904,1621.996217,1356.655311,1559.268704,1249.281319,1479.104358,1016.810307,960.5094578,971.6943888,1035.107482,982.9098901
1119.896175,1183.536854,1402.344697,1488.691057,1798.725113,1286.718067,1497.742077,1018.244224,931.9444444,980.3912602,1042.581448,964.0195627
1148.325112,1188.356674,1247.039591,1734.41853,1845.689342,1706.200864,1558.743274,1071.176149,936.5223499,974.1235357,1074.681406,988.7289417
1118.92091,1196.969799,1212.220361,1723.215886,1629.889353,2195.326442,1595.91766,1078.027964,942.1108247,965.3095723,1055.646138,976.6496192
1126.958963,1169.245708,1331.081989,1608.219713,1480.802848,2440.025499,1616.463283,1107.199571,938.6478495,961.4661191,1095.998905,988.3625277
1132.400853,1168.63326,1455.994812,1490.172193,1330.868743,2398.863181,1688.817697,1165.286344,955.998703,986.371123,1121.194661,1041.395996
1121.076327,1145.231423,1389.772532,1315.689162,1225.711268,2100.997814,1684.466814,1131.138004,943.4492132,965.9580777,1113.137324,1010.439344
1141.792697,1151.583065,1327.319683,1315.582589,1189.995305,1821.315325,1797.108363,1184.404073,951.8031704,990.9486607,1156.769953,1051.033076
1129.68589,1134.486096,1238.159847,1564.006508,1135.201976,1515.646542,1894.161963,1229.873192,950.8746803,997.4197397,1156.49506,1064.36663
1124.338154,1140.902256,1185.203496,1786.397715,1139.465909,1373.214773,1760.323693,1240.687433,938.1123596,978.4755971,1162.642045,1106.992045
1157.107101,1143.642051,1156.17415,1896.795117,1158.078978,1525.507042,1883.203725,1274.210256,955.7102041,991.3099788,1203.736353,1180.282774
1136.039141,1143.777297,1218.858871,1809.330463,1144.793264,1781.990991,1973.520202,1294.460541,964.8467742,998.1076426,1198.413473,1258.228604
1125.639269,1141.122934,1592.714464,1594.842213,1153.939773,1733.717532,1860.270548,1312.233471,948.8466334,977.8995902,1209.432955,1281.718615
1133.266196,1148.469045,2230.328125,1499.746961,1147.440797,1639.268973,1966.085984,1346.597062,965.4283854,1012.517127,1209.37163,1373.180804
1132.453409,1130.38025,2575.743869,1332.764828,1132.389769,1423.293559,1882.543182,1378.244041,964.9414169,984.9729448,1244.769793,1370.876452
1144.180368,1123.224554,2512.128477,1307.792531,1134.490566,1322.757345,2007.609816,1372.370409,984.5417219,1001.724066,1231.398446,1483.478781
