"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","adaxial","somite 1"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag"
"","","","(micron)","","","(micron/frame)","",""
"255 ? 5851","0","","1.787721790131951","255.0","5851.0","1.787721790131951","0","1"
"256 ? 255","1","","2.2754174000866487","256.0","255.0","2.2754174000866487","0","1"
"257 ? 256","2","","2.5131007460004122","257.0","256.0","2.5131007460004122","0","1"
"5917 ? 257","3","10.494782679801984","3.239565199189852","5917.0","257.0","3.239565199189852","0","1"
"259 ? 5917","4","9.410071973552416","3.067584061366928","259.0","5917.0","3.067584061366928","0","1"
"260 ? 5861","5","","4.154348157151045","260.0","5861.0","4.154348157151045","0","1"
"261 ? 260","6","3.1948316060364172","2.6170036090831097","261.0","260.0","2.6170036090831097","0","1"
"262 ? 261","7","5.582429493953413","2.3627165496422573","262.0","261.0","2.3627165496422573","0","1"
"263 ? 262","8","3.0848228387003966","1.7563663737103363","263.0","262.0","1.7563663737103363","0","1"
"264 ? 263","9","5.328622469346652","2.3083809194642577","264.0","263.0","2.3083809194642577","0","1"
"71 ? 70","10","7.155018997320768","3.2966709206002323","71.0","70.0","3.2966709206002323","0","1"
"72 ? 71","11","43.38803415527049","5.002582619891142","72.0","71.0","5.002582619891142","0","1"
"73 ? 72","12","6.446424781006135","2.5389810517225477","73.0","72.0","2.5389810517225477","0","1"
"74 ? 73","13","2.695327068403343","1.641745128941561","74.0","73.0","1.641745128941561","0","1"
"75 ? 74","14","11.462577912578364","3.3856429097851364","75.0","74.0","3.3856429097851364","0","1"
"76 ? 75","15","5.389455379236589","2.321520057900984","76.0","75.0","2.321520057900984","0","1"
"77 ? 76","16","3.4652267471547447","1.8615119519236896","77.0","76.0","1.8615119519236896","0","1"
"78 ? 77","17","1.9886508587972132","1.4101953264697813","78.0","77.0","1.4101953264697813","0","1"
"79 ? 78","18","5.995603137919553","2.448592072583662","79.0","78.0","2.448592072583662","0","1"
"80 ? 79","19","1.5261573632429268","1.2353774173275658","80.0","79.0","1.2353774173275658","0","1"
"81 ? 80","20","3.0223188417865026","1.7384817634322491","81.0","80.0","1.7384817634322491","0","1"
"82 ? 81","21","1.4921166092430345","1.2215222508178205","82.0","81.0","1.2215222508178205","0","1"
"83 ? 82","22","6.0723113485390545","2.464206028021816","83.0","82.0","2.464206028021816","0","1"
"84 ? 83","23","8.211224956496089","2.8655235047886256","84.0","83.0","2.8655235047886256","0","1"
