"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","adaxial","somite 1"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," ","Median ch0","Median ch1"," "," ","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","","","",""
"0","0","","1","60","1399.6028362458178","177.4701361203158","214.0709395833568","23.572145222546595","1465.5","183.0","516.6660880160329","452.8715806434274","41.24164204916535","3.3418282091431273","1225170.0","155120.0","0","61","0","1"
"1","1","","1","60","1269.552453943583","161.646342677592","210.03580761133588","17.078765206580716","1327.0","164.0","508.7862025431397","445.00313265391685","41.24164204916535","3.3418282091431273","1098778.0","140173.0","63","98","0","1"
"2","2","","1","60","1178.7176909627537","137.03780122082028","254.00766770216336","13.415127362710125","1230.5","138.0","504.883836748189","438.2995215534194","42.40269760441216","3.3418282091431273","1001343.0","118415.0","113","99","0","1"
"3","3","","1","60","1053.00159856905","128.55888949920097","207.87993887412443","10.216114729547549","1090.5","129.0","498.92736482743544","433.23054320370056","44.061478321002724","3.3418282091431273","909101.0","111903.0","113","99","0","1"
"4","4","","1","60","1055.4967936061812","118.63414647190793","192.40276254459363","6.870306105026253","1103.0","118.5","492.8680443283925","432.3583647955153","42.73456490440057","3.3418282091431273","917445.0","103786.0","4","61","0","1"
"5","5","","1","60","983.9652787509305","121.83828385917938","120.29926418012748","7.656634015298511","998.0","122.0","486.02407751380946","432.97928040214305","44.06168042403962","3.03802564467557","670517.0","83218.0","107","61","0","1"
"6","6","","1","60","1159.9822820835532","117.19233525204663","123.97790887823942","6.656200344095561","1203.0","117.0","480.57874177293786","434.8307606018923","42.90072592031128","3.03802564467557","777949.0","78062.0","96","61","0","1"
"7","7","","1","60","1446.8358822658138","109.48368671634861","164.87799208186797","4.5886161978781885","1486.0","109.0","475.02575375776354","438.44686612270505","42.90072592031129","3.03802564467557","975471.0","73187.0","67","61","0","1"
"8","8","","1","60","1286.9299291869088","108.69684887555923","237.07381990733208","4.127328091610166","1307.0","109.0","473.1702368874335","445.1852362995004","44.227639336913455","3.03802564467557","861552.0","73188.0","53","61","0","1"
"9","9","","1","60","1517.7181476368628","109.91925845327748","241.32613790433896","4.4846697650319145","1619.0","110.0","470.60664558044516","451.9641381945025","43.27233212799317","3.03802564467557","989596.0","70671.0","62","61","0","1"
"10","10","","1","60","1227.9984138726545","165.33567563890932","147.20409003256222","18.852696863688053","1254.0","164.0","520.9782627227906","458.8266933445362","44.433236105962294","3.03802564467557","826485.0","110868.0","92","61","0","1"
"11","11","","1","60","1033.1857004760366","129.20074062993245","242.861435290575","9.451981196992511","1108.5","130.0","522.0762584692122","465.2214627264576","44.4332361059623","3.03802564467557","697054.0","88899.0","46","64","0","1"
"12","12","469.4174505414137","2","49","1372.7122405599716","133.3184742867004","142.03854051767777","10.662989637952949","1426.0","133.0","519.8025490215526","457.22878874571546","61.0175886266605","2.8966437973668793","796447.0","77356.0","5","61","0","1"
"13","13","","1","60","994.6212047694411","118.35583459963998","149.27072107282427","7.164585977966306","1045.5","119.0","515.2817383418793","482.08041659866814","45.52704456494201","3.03802564467557","659252.0","77962.0","144","61","0","1"
"14","14","","1","60","1188.1130932800438","108.51138666734197","156.2846944234436","4.177908595139286","1233.0","108.0","506.0894847689134","484.5875544447058","45.52704456494202","3.03802564467557","799898.0","72566.0","86","61","0","1"
"15","15","","1","60","1246.1105920718833","109.51336889697852","183.73135462208157","5.058067562132875","1310.5","109.0","498.81095365333016","487.05705607320726","45.527044564942024","3.03802564467557","835852.0","73559.0","39","61","0","1"
"16","16","","1","60","1207.4396476550407","108.53294520769786","185.30425425803045","4.187191813983339","1233.0","108.0","491.5324225377469","486.97919337858474","42.541603060545434","3.03802564467557","803579.0","72259.0","43","61","0","1"
"17","17","","1","60","1341.5427278629445","112.79706447461366","238.68337236842927","5.820844474034345","1462.0","113.0","470.47667181052407","459.2231732445975","39.129791600115816","3.03802564467557","837115.0","70623.0","21","61","0","1"
"18","18","","1","60","1262.2144950767406","111.44944294457244","263.81659025844135","5.2128454346627535","1340.0","111.0","465.14774724375775","452.1114823228565","38.13464443198362","3.03802564467557","840242.0","75018.0","82","61","0","1"
"19","19","","1","60","1203.921109419773","108.92793803555315","177.88568646489512","4.246659426806761","1242.5","109.0","463.19814069494083","444.9455546187615","40.045258849824215","2.896643797366879","695821.0","62758.0","134","62","0","1"
"20","20","","1","60","1163.5888330802811","114.35389020515963","118.76624327950071","6.236336239878989","1207.0","114.0","474.3758849081579","467.677966977967","36.22403001414304","3.03802564467557","747652.0","73320.0","84","61","0","1"
"21","21","","1","60","1143.1094894007222","112.35996490686485","160.57260207918048","5.512690100523406","1213.5","112.0","480.6417510560037","472.3844988982667","34.067473610449504","3.03802564467557","763513.0","74963.0","115","61","0","1"
"22","22","","1","60","1179.2594893263474","108.45319475388125","160.34442613415038","4.315367597293388","1264.0","108.0","485.6836028912961","477.56897086896487","34.06747361044951","3.03802564467557","783037.0","71829.0","122","61","0","1"
"23","23","","1","60","1147.199415061995","108.66670617380328","241.63968219879698","4.512160887035136","1256.0","108.0","466.83060866616194","437.90070298417635","42.36158230278653","3.1863081771035673","846913.0","81591.0","129","61","0","1"
"24","24","","1","60","1380.3362239854011","108.76705287100641","322.2187579556459","4.044744823907791","1522.0","108.0","467.1425455935216","439.8590448336719","34.74662526805659","3.0380256446755705","885750.0","69743.0","123","61","0","1"
"25","25","","1","60","1114.9980880922667","113.25780674974867","175.5412751269065","6.1658638035253395","1159.0","114.0","501.93032413143726","488.22682000249745","40.045258849824215","2.8966437973668793","638734.0","65113.0","85","67","0","1"
"26","26","","1","60","1022.6118770033222","114.33718054215112","204.57759127617615","6.607946060794433","1123.0","113.5","509.09244407291516","483.4554280557467","37.22222375949807","2.8966437973668793","558402.0","63601.0","85","67","0","1"
"27","27","","1","60","1015.2227213299153","109.09981005923852","160.5197331274124","4.249458598642802","1065.5","109.0","485.81357666121727","487.7069249228129","37.22222375949808","2.8966437973668793","560631.0","60717.0","101","80","0","1"
"28","28","","1","60","1094.7478396956076","108.40277897098879","190.22469111180274","4.221841463028157","1167.0","108.0","495.30166186545966","489.13663639194533","37.222223759498085","2.8966437973668793","614200.0","61137.0","93","79","0","1"
"29","29","","1","60","1456.490001215176","111.07292454449647","193.88473868637797","4.787965407279636","1548.0","111.0","473.33609474878887","436.36728580396704","37.22222375949809","2.8966437973668793","812099.0","61907.0","69","61","0","1"
"30","30","","1","60","1442.0753354120288","126.6247282323678","254.04003304833188","8.86625745458575","1537.0","127.0","489.5604944933116","434.43215587663894","35.8952092913775","2.8966437973668793","784892.0","68815.0","32","61","0","1"
"31","31","","1","60","1457.8757506900058","118.21589749588138","340.71919383941014","6.23764189432478","1608.0","118.0","498.81095365333016","439.09673497231074","35.8952092913775","2.8966437973668793","767991.0","63581.0","74","60","0","1"
"32","32","","2","54","1303.6745556100973","116.18417556885728","160.4281744554666","6.459824824686819","1324.5","116.0","490.9206840610409","457.31098946996565","23.615739947379204","2.0750123930575572","273454.0","24057.0","14","99","0","1"
"33","33","","1","60","1161.5330268921045","109.69560975211527","265.63022249425484","4.900440055668637","1292.5","109.0","479.7432423276145","441.44946520336777","25.351274914342966","3.504938994813924","1151082.0","110562.0","54","61","0","1"
"34","34","","1","60","1253.2416120389503","115.76613383876298","292.80943137753263","6.916717729393334","1260.5","115.5","484.9766521066721","438.09592892396694","32.07842634901194","3.504938994813924","1183220.0","113516.0","11","111","0","1"
"35","35","","1","60","1333.2576553234176","122.50014114603238","248.7568699516514","8.292424284633944","1454.0","124.0","489.6318096455627","441.5991831089838","29.255609549880845","3.504938994813924","1333819.0","122906.0","136","61","0","1"
"36","36","","1","60","1070.734570725937","119.2284011668376","230.8559168309675","6.901391154137528","1117.5","118.0","496.155667717025","439.88442004398195","27.35773926651874","3.504938994813924","1061045.0","119486.0","151","103","0","1"
"37","37","","1","60","1224.3470564005936","207.05856934243587","116.3146574897159","28.045082826825475","1264.5","216.0","521.5431039405714","464.60343247961026","36.19372532926385","2.8966437973668793","679933.0","113786.0","37","61","0","1"
"38","38","","1","60","1141.779337791162","121.5408639684068","217.95878770787272","7.180070261817706","1248.0","121.0","515.5775699731557","478.6087610283339","36.193725329263856","2.8966437973668793","620962.0","66849.0","28","61","0","1"
"39","39","","1","60","1191.096394483626","111.89820320997815","157.8146602071166","5.911879897059896","1266.5","112.0","499.69425114486535","484.81305107727053","33.374949975245094","2.8966437973668793","664428.0","62316.0","73","61","0","1"
"40","40","","1","60","1006.3487385164348","108.26721196538554","125.77101222595721","4.019092740972917","1060.5","108.0","493.21721086703985","485.03026822146364","31.873303491850834","2.6333125430607995","423301.0","45164.0","93","79","0","1"
"41","41","","1","60","1119.8375560114591","109.0951390562999","137.19202392125695","4.457256967490683","1193.0","109.0","483.08412749287356","485.1074495243904","32.04839019278559","2.8966437973668793","652848.0","63790.0","97","61","0","1"
