"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Adaxial","Somite1","other"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag"
"","","","(micron)","","","(micron/frame)","","",""
"211 ? 140","0","25.329588429397717","5.032850924614966","211.0","140.0","5.032850924614966","1","0","0"
"212 ? 211","1","11.008619077270438","3.3179239107114014","212.0","211.0","3.3179239107114014","1","0","0"
"213 ? 212","2","18.15220734956302","4.2605407344095445","213.0","212.0","4.2605407344095445","1","0","0"
"3307 ? 2472","3","","5.23204917143982","3307.0","2472.0","5.23204917143982","0","1","0"
"4349 ? 214","4","11.756222166443644","3.4287347763342155","4349.0","214.0","3.4287347763342155","0","1","0"
"215 ? 3306","5","10.979014815187652","3.31345964441815","215.0","3306.0","3.31345964441815","0","1","0"
"216 ? 215","6","6.634564643882263","2.575764865798558","216.0","215.0","2.575764865798558","0","1","0"
"217 ? 216","7","15.98279822788298","3.997849200242923","217.0","216.0","3.997849200242923","0","1","0"
"219 ? 218","8","5.558116262637824","2.3575657493774855","219.0","218.0","2.3575657493774855","1","0","0"
"220 ? 219","9","11.152147315189417","3.3394830910171436","220.0","219.0","3.3394830910171436","1","0","0"
"221 ? 220","10","10.237873354227577","3.1996676943438325","221.0","220.0","3.1996676943438325","1","0","0"
"222 ? 221","11","6.707970271298653","2.589974955728077","222.0","221.0","2.589974955728077","1","0","0"
"223 ? 222","12","6.673626756494854","2.5833363614703475","223.0","222.0","2.5833363614703475","1","0","0"
"224 ? 223","13","7.020071263616497","2.6495417082236123","224.0","223.0","2.6495417082236123","1","0","0"
"225 ? 224","14","8.640007287817381","2.9393889310224637","225.0","224.0","2.9393889310224637","1","0","0"
"226 ? 225","15","3.5162536225747054","1.8751676251937333","226.0","225.0","1.8751676251937333","1","0","0"
"227 ? 226","16","8.793650824319148","2.9654090483977327","227.0","226.0","2.9654090483977327","1","0","0"
"228 ? 227","17","8.450433710381713","2.9069629702460458","228.0","227.0","2.9069629702460458","1","0","0"
"229 ? 228","18","9.777393527094924","3.1268823973879996","229.0","228.0","3.1268823973879996","1","0","0"
"230 ? 229","19","13.807543709323133","3.7158503346237093","230.0","229.0","3.7158503346237093","1","0","0"
"231 ? 230","20","13.071761149323144","3.6154890608772616","231.0","230.0","3.6154890608772616","1","0","0"
"232 ? 231","21","8.824996188813264","2.9706895140376526","232.0","231.0","2.9706895140376526","1","0","0"
"233 ? 232","22","21.820211944924775","4.6712109719991","233.0","232.0","4.6712109719991","1","0","0"
"234 ? 233","23","13.430588516070506","3.6647767348189855","234.0","233.0","3.6647767348189855","1","0","0"
"235 ? 234","24","21.784781621086772","4.667417018125418","235.0","234.0","4.667417018125418","1","0","0"
"236 ? 235","25","22.640157410966353","4.758167442510441","236.0","235.0","4.758167442510441","1","0","0"
"238 ? 3693","26","","3.8832119547405535","238.0","3693.0","3.8832119547405535","1","0","0"
"237 ? 263","27","","7.284988434783581","237.0","263.0","7.284988434783581","1","0","0"
"239 ? 238","28","12.954442315749287","3.5992280166376354","239.0","238.0","3.5992280166376354","1","0","0"
"240 ? 239","29","5.411284037999089","2.3262166790733594","240.0","239.0","2.3262166790733594","1","0","0"
"241 ? 240","30","7.11104040055068","2.6666534084036266","241.0","240.0","2.6666534084036266","1","0","0"
"242 ? 241","31","10.729449241612102","3.275583801646983","242.0","241.0","3.275583801646983","1","0","0"
"243 ? 242","32","9.902620967415928","3.1468430160107967","243.0","242.0","3.1468430160107967","1","0","0"
"244 ? 243","33","4.6066279274411475","2.1463056463237353","244.0","243.0","2.1463056463237353","1","0","0"
"245 ? 244","34","6.2669247034760005","2.503382652227981","245.0","244.0","2.503382652227981","1","0","0"
"246 ? 245","35","8.304692254615441","2.88178629579215","246.0","245.0","2.88178629579215","1","0","0"
"247 ? 246","36","4.800702645659276","2.191050580351644","247.0","246.0","2.191050580351644","1","0","0"
"248 ? 247","37","9.256900666539355","3.0425155162364175","248.0","247.0","3.0425155162364175","1","0","0"
"249 ? 248","38","5.123768920522341","2.2635743682332023","249.0","248.0","2.2635743682332023","1","0","0"
"250 ? 249","39","9.532987228332152","3.087553599264659","250.0","249.0","3.087553599264659","1","0","0"
"251 ? 250","40","3.0893152358565232","1.75764479797726","251.0","250.0","1.75764479797726","1","0","0"
"252 ? 251","41","1.3555941517551615","1.1642998547432537","252.0","251.0","1.1642998547432537","1","0","0"
"253 ? 252","42","5.614435550221414","2.369480016843656","253.0","252.0","2.369480016843656","1","0","0"
