"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Honly","HtoL","checked","last peak"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","","(micron)","","","(micron/frame)","","","",""
"5 ? 0","0","","1.337392519186996","5.0","0.0","1.337392519186996","0","1","1","1"
"6 ? 5","1","","2.3056306730899094","6.0","5.0","2.3056306730899094","0","1","1","1"
"7 ? 6","2","","0.469188333565662","7.0","6.0","0.469188333565662","0","1","1","1"
"8 ? 7","3","","4.96007522967948","8.0","7.0","4.96007522967948","0","1","1","1"
"9 ? 8","4","","3.3722539182235236","9.0","8.0","3.3722539182235236","0","1","1","1"
"10 ? 9","5","","1.1710427179227103","10.0","9.0","1.1710427179227103","0","1","1","1"
"11 ? 10","6","","2.0200435141315047","11.0","10.0","2.0200435141315047","0","1","1","1"
"12 ? 11","7","","4.281174719448985","12.0","11.0","4.281174719448985","0","1","1","1"
"13 ? 12","8","","6.571473704074004","13.0","12.0","6.571473704074004","0","1","1","1"
"14 ? 13","9","","7.345832276761293","14.0","13.0","7.345832276761293","0","1","1","1"
"15 ? 14","10","","10.507965529218215","15.0","14.0","10.507965529218215","0","1","1","1"
"16 ? 15","11","","6.203982527363587","16.0","15.0","6.203982527363587","0","1","1","1"
"17 ? 16","12","","3.4292648391272853","17.0","16.0","3.4292648391272853","0","1","1","1"
"18 ? 17","13","","4.917213213833595","18.0","17.0","4.917213213833595","0","1","1","1"
"19 ? 18","14","","2.375084917760791","19.0","18.0","2.375084917760791","0","1","1","1"
"20 ? 19","15","","1.537338748469584","20.0","19.0","1.537338748469584","0","1","1","1"
"21 ? 20","16","","3.5019552671595613","21.0","20.0","3.5019552671595613","0","1","1","1"
"22 ? 21","17","","0.7418518928231554","22.0","21.0","0.7418518928231554","0","1","1","1"
"23 ? 22","18","","2.6086756128635855","23.0","22.0","2.6086756128635855","0","1","1","1"
"24 ? 23","19","","3.042902963520228","24.0","23.0","3.042902963520228","0","1","1","1"
"25 ? 24","20","","3.9960979523581153","25.0","24.0","3.9960979523581153","0","1","1","1"
"504 ? 26","21","","7.741796148131833","504.0","26.0","7.741796148131833","0","1","1","1"
"26 ? 25","22","","6.817112500348803","26.0","25.0","6.817112500348803","0","1","1","1"
"28 ? 27","23","","6.568452132898247","28.0","27.0","6.568452132898247","0","1","1","1"
"29 ? 28","24","","6.830950919907638","29.0","28.0","6.830950919907638","0","1","1","1"
"30 ? 29","25","","5.521578589735454","30.0","29.0","5.521578589735454","0","1","1","1"
"31 ? 30","26","","6.181552692179198","31.0","30.0","6.181552692179198","0","1","1","1"
"32 ? 31","27","","5.33061634672754","32.0","31.0","5.33061634672754","0","1","1","1"
"943 ? 33","28","","1.0341156423467412","943.0","33.0","1.0341156423467412","0","1","1","1"
"33 ? 32","29","","6.507904765757037","33.0","32.0","6.507904765757037","0","1","1","1"
"956 ? 126","30","","6.485540555419786","956.0","126.0","6.485540555419786","0","1","1","1"
"34 ? 956","31","","6.577192085900782","34.0","956.0","6.577192085900782","0","1","1","1"
"955 ? 34","32","","6.060439288205457","955.0","34.0","6.060439288205457","0","1","1","1"
"36 ? 955","33","","8.572821040860937","36.0","955.0","8.572821040860937","0","1","1","1"
"37 ? 36","34","","7.744754089785426","37.0","36.0","7.744754089785426","0","1","1","1"
"38 ? 37","35","","10.184857912086201","38.0","37.0","10.184857912086201","0","1","1","1"
"39 ? 38","36","","7.557807348387589","39.0","38.0","7.557807348387589","0","1","1","1"
"40 ? 39","37","","5.674692646028172","40.0","39.0","5.674692646028172","0","1","1","1"
"41 ? 40","38","","7.40998719306478","41.0","40.0","7.40998719306478","0","1","1","1"
"120 ? 43","39","","1.9983562059098807","120.0","43.0","1.9983562059098807","0","1","1","1"
"153 ? 46","40","","8.025878224131342","153.0","46.0","8.025878224131342","0","1","1","1"
"154 ? 153","41","","6.767182321967172","154.0","153.0","6.767182321967172","0","1","1","1"
"47 ? 4","42","","0.0","47.0","4.0","0.0","0","1","1","1"
"48 ? 47","43","","2.9318879671569453","48.0","47.0","2.9318879671569453","0","1","1","1"
"49 ? 48","44","","3.218275558590862","49.0","48.0","3.218275558590862","0","1","1","1"
"50 ? 49","45","","3.193362888674108","50.0","49.0","3.193362888674108","0","1","1","1"
"51 ? 50","46","","3.297026895515769","51.0","50.0","3.297026895515769","0","1","1","1"
"52 ? 51","47","","1.0973168795414812","52.0","51.0","1.0973168795414812","0","1","1","1"
"53 ? 52","48","","3.114438851260761","53.0","52.0","3.114438851260761","0","1","1","1"
"54 ? 53","49","","4.721116536462201","54.0","53.0","4.721116536462201","0","1","1","1"
"55 ? 54","50","","5.576239686833954","55.0","54.0","5.576239686833954","0","1","1","1"
"56 ? 55","51","","9.033794130394304","56.0","55.0","9.033794130394304","0","1","1","1"
"57 ? 56","52","","9.217561454752476","57.0","56.0","9.217561454752476","0","1","1","1"
"58 ? 57","53","","3.6644780301705735","58.0","57.0","3.6644780301705735","0","1","1","1"
"59 ? 58","54","","3.916454019307939","59.0","58.0","3.916454019307939","0","1","1","1"
"60 ? 59","55","","5.809579798510531","60.0","59.0","5.809579798510531","0","1","1","1"
"61 ? 60","56","","2.7411311163667644","61.0","60.0","2.7411311163667644","0","1","1","1"
"62 ? 61","57","","1.6671047855401673","62.0","61.0","1.6671047855401673","0","1","1","1"
"63 ? 62","58","","2.721355721011869","63.0","62.0","2.721355721011869","0","1","1","1"
"64 ? 63","59","","2.833425413003679","64.0","63.0","2.833425413003679","0","1","1","1"
"65 ? 64","60","","4.011006332285783","65.0","64.0","4.011006332285783","0","1","1","1"
"66 ? 65","61","","1.832239015085261","66.0","65.0","1.832239015085261","0","1","1","1"
"67 ? 66","62","","4.691883335656794","67.0","66.0","4.691883335656794","0","1","1","1"
"68 ? 67","63","","7.312001815325549","68.0","67.0","7.312001815325549","0","1","1","1"
"69 ? 68","64","","6.126510810835118","69.0","68.0","6.126510810835118","0","1","1","1"
"70 ? 69","65","","6.038236936072842","70.0","69.0","6.038236936072842","0","1","1","1"
"71 ? 70","66","","6.038236936072842","71.0","70.0","6.038236936072842","0","1","1","1"
"72 ? 3","67","","1.6357834236751265","72.0","3.0","1.6357834236751265","0","1","1","1"
"73 ? 72","68","","2.259747084664248","73.0","72.0","2.259747084664248","0","1","1","1"
"74 ? 73","69","","2.4054916903475014","74.0","73.0","2.4054916903475014","0","1","1","1"
"75 ? 74","70","","3.7211588186002356","75.0","74.0","3.7211588186002356","0","1","1","1"
"76 ? 75","71","","3.593142670316171","76.0","75.0","3.593142670316171","0","1","1","1"
"77 ? 76","72","","0.9848720403302083","77.0","76.0","0.9848720403302083","0","1","1","1"
"78 ? 77","73","","2.977170769854616","78.0","77.0","2.977170769854616","0","1","1","1"
"79 ? 78","74","","4.1965480324108375","79.0","78.0","4.1965480324108375","0","1","1","1"
"80 ? 79","75","","6.5071478963821185","80.0","79.0","6.5071478963821185","0","1","1","1"
