"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot sum intensity","Spot sum intensity","Spot sum intensity","Spot track ID","Track N spots","Honly","HtoL","checked","last peak"
"",""," "," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," ","Median ch0","Median ch1","Median ch2"," "," ","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(Counts)","","","","","",""
"0","0","","1","60","124.11811529714255","332.4709168461617","14214.024367434336","6.660610636103011","25.823579055284775","5045.383117049492","125.0","338.0","12334.5","371.1271977484608","264.1977004643727","48.67571693887198","1.8863749027795975","19276.0","51798.0","2226927.0","0","52","0","1","1","1"
"1","1","","1","60","124.2288893681169","267.6985554522221","7390.541332588242","7.131334502090502","26.861475869788737","1833.7443321627645","124.0","268.5","6851.0","384.7965920303557","274.1506880339099","48.43711677415211","1.8863749027795975","19374.0","41591.0","1165641.0","9","52","0","1","1","1"
"2","2","","2","60","128.48439802528563","346.7859286056105","7002.673633596022","7.63801210920943","28.242291397723758","2401.0051912420677","128.5","346.0","6205.0","388.1000532591085","259.9679786888731","49.30912049053506","1.8863749027795975","19794.0","53462.0","1078746.0","16","52","0","1","1","1"
"3","3","","1","60","119.70140798895781","241.29468748881166","5237.008539329876","6.605137945040944","31.24287458936903","1296.8789326886224","119.0","245.0","4955.0","373.23445740429764","270.1460723822208","28.131972529036204","2.2825136323633135","33644.0","68001.0","1447392.0","11","54","0","1","1","1"
"4","4","","2","60","129.3788691409619","240.88624585722516","4982.762678428512","7.655535949310629","28.854629192893636","1044.4611007445917","130.0","244.0","4805.0","373.63428626794786","274.2423902995901","40.37955423110509","2.2825136323633135","38341.0","71434.0","1452732.0","15","50","0","1","1","1"
"5","5","","2","59","123.7690401481879","314.216357496363","18678.79003369737","7.413635132234653","27.96626766792539","6851.725448047029","123.0","321.0","17029.5","369.9661927189732","263.5341679597369","48.695982357043675","1.8863749027795975","19205.0","48737.0","2976347.0","0","52","0","1","1","1"
"6","6","","2","58","124.55031420962725","317.0297793383918","14764.298835765338","6.682784233237152","27.05710739050077","4922.193052822239","124.0","322.0","13479.0","369.30276127355177","263.8659342120548","46.51292883691597","1.8863749027795975","20453.0","52092.0","2427280.0","0","52","0","1","1","1"
"7","7","","2","57","127.74112146799743","284.60261181131483","12931.84532817966","7.590568811734116","28.998924329834303","4325.935336526543","128.0","290.0","11608.0","368.97104555084104","263.5341679597369","46.51871895639359","1.8863749027795975","20841.0","46330.0","2109821.0","0","52","0","1","1","1"
"8","8","","2","56","128.67083959038143","279.1342298459826","15547.752307435941","8.39313168115804","32.52404125732142","6029.648255428491","129.0","283.5","13908.0","368.4734719667749","266.8875793333728","42.89802855652659","1.8863749027795975","19702.0","43034.0","2389223.0","0","52","0","1","1","1"
"9","9","","2","55","128.7693141792517","283.02733229308024","12917.06444889364","8.245012525524828","24.546761646502627","4680.3091717205325","130.0","289.0","11489.0","369.2050165531359","266.8875793333728","39.606077917902155","1.8863749027795975","20084.0","43838.0","2030649.0","0","52","0","1","1","1"
"10","10","","2","54","131.71495406460372","269.40571038876715","15538.676295595935","7.879460259399468","25.69493779136435","3355.8084653880105","131.0","269.0","15281.0","368.4734719667749","266.8875793333728","38.691647184950924","1.8863749027795975","20491.0","42350.0","2450129.0","0","52","0","1","1","1"
"11","11","","2","53","132.28562655695941","296.2003112686627","16244.185593630396","7.652430197771625","31.545283081436946","4579.269105434046","132.0","291.5","16637.5","368.2905858201847","266.8875793333728","40.703394797443636","1.8863749027795975","20981.0","47149.0","2525744.0","0","52","0","1","1","1"
"12","12","","2","52","131.03767542343368","285.980686137993","12484.30392158624","7.812897484682468","24.589660872928594","3006.8547575896478","130.5","292.0","12961.0","370.28088015644914","270.0751075808497","38.65233431442041","1.8863749027795975","20381.0","44474.0","1934391.0","0","52","0","1","1","1"
"13","13","","2","51","134.62269095551287","281.71958584708386","6306.160402070676","7.798057573942554","24.25102618499788","2729.0148604650094","134.0","285.0","5090.0","369.9491644337384","276.48591292626037","37.246700597587804","1.8863749027795975","21096.0","44214.0","969985.0","0","52","0","1","1","1"
"14","14","","2","50","138.11420271931865","266.9426780220889","4900.817118084238","9.097868925413032","28.958042897576323","1392.5613170457866","137.0","264.5","4542.0","370.77845374051526","283.7847704772543","37.23222529889374","1.8863749027795975","20902.0","41000.0","750683.0","0","52","0","1","1","1"
"15","15","","2","49","136.58938543988063","253.70326788577069","4614.286563137746","8.126504589607931","20.253823164846196","1139.4868516110216","136.5","256.0","4189.0","368.4564436815401","292.94409126645354","32.63522067307495","1.8863749027795975","21137.0","38980.0","728239.0","0","52","0","1","1","1"
"16","16","","2","48","140.0356731933231","262.23475151516936","3945.9815159617465","9.561368208996214","23.726510573651055","397.35483337275406","140.0","259.0","3895.5","368.2905858201848","298.6556152567715","30.218532013424806","1.8863749027795975","22140.0","41261.0","617054.0","0","52","0","1","1","1"
"17","17","","2","47","139.0963601369299","246.50724342852428","4243.542036358707","9.330692265464135","19.243472068039814","480.20908211368084","141.0","253.5","4190.0","367.46129651340794","300.95509129866514","27.81342359272991","1.8863749027795975","21169.0","37633.0","646173.0","0","52","0","1","1","1"
"18","18","","2","46","141.82244319852117","228.0305679563125","4315.827205995672","9.918996055815875","21.113734756440795","688.468536168276","141.0","226.0","4201.0","368.12472795882945","303.706441270372","31.83448288608959","1.8863749027795975","22431.0","36437.0","690658.0","0","52","0","1","1","1"
"19","19","","2","45","147.61030038356384","227.103416205312","4419.997458178743","10.817605764976062","17.991562283342027","377.01472371351474","147.0","228.5","4359.5","367.1295807906972","305.8629219104384","31.85185324452247","1.8863749027795975","22624.0","34661.0","676453.0","0","52","0","1","1","1"
"20","20","","2","44","151.07842062874826","207.9118345650874","5216.004967076323","10.828846643088209","19.084241442813774","1246.1158850841564","150.0","211.0","5082.5","367.95887009747406","306.6565886907764","30.829218062749664","1.8863749027795975","23919.0","33193.0","859769.0","0","52","0","1","1","1"
"21","21","","2","43","153.9204035937883","207.05787762789313","6231.0593426770765","11.544479254014405","18.298186415542137","1674.276426839062","155.0","208.5","6060.5","366.9637229293418","308.0780391252934","33.87106807041875","1.8863749027795975","24246.0","32768.0","999268.0","0","52","0","1","1","1"
"22","22","","2","42","157.3360755059844","192.55409674396685","5008.418356282679","11.404240352773165","17.15585015533801","1819.656816592238","157.5","192.5","4427.0","367.29543865205255","308.7415716299292","33.86527795094113","1.8863749027795975","24855.0","30348.0","812653.0","0","52","0","1","1","1"
"23","23","","2","41","167.43866516477812","179.1865730415964","5580.099042350479","12.53500500539371","18.0681602076637","2440.701511750863","169.0","181.0","4621.0","367.6101260895284","310.56628601767767","32.02773130582222","1.8863749027795975","25860.0","27756.0","880942.0","0","52","0","1","1","1"
"24","24","","2","40","174.22890681646294","168.72781121644917","7609.81728532933","12.706280140279139","14.073600017108005","2782.7808851911386","176.0","171.0","6832.5","368.19284109976894","313.05453291006194","33.67949674461207","1.8863749027795975","26395.0","25409.0","1166194.0","0","52","0","1","1","1"
"25","25","","2","39","184.6578613643454","152.460474930432","8684.627697945865","12.693285586538707","13.524536637775205","2347.268710899275","186.0","151.0","8565.0","368.52455682247967","316.9055936621747","32.6655467420557","1.8863749027795975","28688.0","23870.0","1350136.0","0","52","0","1","1","1"
"26","26","","2","38","190.73824512238545","156.15025351734423","10698.292364920404","13.220779036727386","12.795004163897824","5596.334373054579","190.0","155.0","9808.0","366.67297610196096","322.5984969177563","35.9267618837481","1.8863749027795975","29829.0","24769.0","1693526.0","0","52","0","1","1","1"
"27","27","","2","37","189.88783209597162","135.68265930384007","4158.228382888274","15.243335026113852","10.994703113579313","610.2469047965175","191.0","136.0","4091.5","359.7299272132607","330.1410155267168","33.66753116123957","1.8863749027795975","29742.0","21176.0","642258.0","3","49","0","1","1","1"
"28","28","","2","36","197.75631948683926","132.64532904851052","4341.637361803289","14.878604157462592","9.57424687572725","726.7952450374031","197.0","133.0","4139.5","359.198035025116","336.4625838804359","31.964760574336175","1.8863749027795975","29644.0","19894.0","650149.0","3","49","0","1","1","1"
"29","29","","2","35","209.1873370931741","129.5625239215768","5530.7320565500495","12.708064895550766","8.809813334760314","1569.710250302659","211.0","131.0","5056.0","358.86631930240526","343.28232223491443","32.17218267042955","1.8863749027795975","32803.0","20131.0","884488.0","3","49","0","1","1","1"
"30","30","","2","34","216.74487447254788","127.74398452621729","4721.820377872185","15.650356381609948","8.014639986687977","998.5424840730722","217.0","127.0","4413.0","357.04188282749624","348.38895029538526","33.21218821063522","1.8863749027795975","34598.0","20349.0","745349.0","3","49","0","1","1","1"
"31","31","","2","33","229.3512125639365","122.50679670565106","4942.957195190683","18.774602930250527","8.358774524193564","901.8187596128951","231.0","122.0","4755.5","356.5443092434301","354.4322405380212","32.01108153015718","1.8863749027795975","35777.0","18960.0","771528.0","3","49","0","1","1","1"
"32","32","","2","32","239.33158554228825","117.2091135691857","4394.937001353978","17.360332798982306","6.125976815868565","533.7948944292467","240.0","116.0","4338.5","354.48980053018016","354.8363778872774","36.91323795219381","1.8863749027795975","37224.0","18256.0","684374.0","3","49","0","1","1","1"
"33","33","","2","31","245.44856970368602","113.57887325887079","5349.906822167651","16.47047671276215","5.668070789204656","1195.4600795626604","246.0","114.0","4941.0","352.4318121494136","355.6409098407897","43.03453165537214","1.8863749027795975","36816.0","17059.0","790945.0","3","49","0","1","1","1"
"34","34","","2","21","348.78103182292733","106.60334309905114","7210.769741110353","40.55183709347434","3.415643296589374","2663.6086442032133","357.0","106.0","6626.0","366.00254455264525","371.41001943752417","36.62050753201214","2.2825136323633135","91760.0","27809.0","1793959.0","11","54","0","1","1","1"
"35","35","","2","12","496.3112942049447","106.32681190266787","4573.731148756821","55.777726322105956","3.3918659340299557","728.4735262637563","514.0","106.0","4525.0","367.3680140298108","406.9454215559086","69.05767584771698","2.2825136323633135","146426.0","30890.0","1336280.0","11","54","0","1","1","1"
"36","36","","2","19","415.26162323771376","106.57013936645075","9515.289786533394","60.8577611656108","3.299531682454889","4865.396974755333","409.0","106.0","7794.5","367.3601066544384","384.79814585041765","36.47312406220192","2.2825136323633135","114430.0","29295.0","2600941.0","11","54","0","1","1","1"
"37","37","","2","18","426.3276557731893","106.26209518532602","7270.093298334571","98.95882346878719","3.384081711711143","2639.6938865488396","432.0","106.0","6727.0","366.32400605106136","391.46647737508346","32.67298378478083","2.2825136323633135","119282.0","29949.0","2025544.0","11","54","0","1","1","1"
