"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","H","HtoL","adaxials","checked"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","",""
"39 ? 11","0","7.85892954594277","39.0","11.0","7.85892954594277","0","1","0","1"
"37 ? 39","1","4.031282673609639","37.0","39.0","4.031282673609639","0","1","0","1"
"52 ? 37","2","5.2848040461525105","52.0","37.0","5.2848040461525105","0","1","0","1"
"12 ? 52","3","6.952079550619305","12.0","52.0","6.952079550619305","0","1","0","1"
"13 ? 12","4","3.692622391368974","13.0","12.0","3.692622391368974","0","1","0","1"
"15 ? 13","5","2.325041478684478","15.0","13.0","2.325041478684478","0","1","0","1"
"38 ? 15","6","2.0550657451472523","38.0","15.0","2.0550657451472523","0","1","0","1"
"53 ? 38","7","0.0","53.0","38.0","0.0","0","1","0","1"
"14 ? 53","8","2.926178345443944","14.0","53.0","2.926178345443944","0","1","0","1"
"51 ? 14","9","4.574411157676917","51.0","14.0","4.574411157676917","0","1","0","1"
"16 ? 51","10","1.0478820336222228","16.0","51.0","1.0478820336222228","0","1","0","1"
"17 ? 16","11","4.308840544297191","17.0","16.0","4.308840544297191","0","1","0","1"
"18 ? 17","12","1.1625207393422772","18.0","17.0","1.1625207393422772","0","1","0","1"
"54 ? 18","13","3.8166029233208767","54.0","18.0","3.8166029233208767","0","1","0","1"
"55 ? 54","14","5.946261070366819","55.0","54.0","5.946261070366819","0","1","0","1"
"56 ? 55","15","7.279691503173815","56.0","55.0","7.279691503173815","0","1","0","1"
"59 ? 56","16","11.256920207568017","59.0","56.0","11.256920207568017","0","1","0","1"
"60 ? 59","17","6.194214060262852","60.0","59.0","6.194214060262852","0","1","0","1"
"36 ? 60","18","3.703162225989804","36.0","60.0","3.703162225989804","0","1","0","1"
"20 ? 36","19","7.763511537414094","20.0","36.0","7.763511537414094","0","1","0","1"
"40 ? 20","20","4.285159401402862","40.0","20.0","4.285159401402862","0","1","0","1"
"41 ? 40","21","1.8829281232035293","41.0","40.0","1.8829281232035293","0","1","0","1"
"42 ? 41","22","4.686148239039708","42.0","41.0","4.686148239039708","0","1","0","1"
"28 ? 42","23","0.9190533408760927","28.0","42.0","0.9190533408760927","0","1","0","1"
"21 ? 28","24","3.1992009690040404","21.0","28.0","3.1992009690040404","0","1","0","1"
"22 ? 21","25","3.7107199314680885","22.0","21.0","3.7107199314680885","0","1","0","1"
"0 ? 22","26","4.284988662334961","0.0","22.0","4.284988662334961","0","1","0","1"
"1 ? 0","27","6.914595722330458","1.0","0.0","6.914595722330458","0","1","0","1"
"2 ? 1","28","7.249610255412646","2.0","1.0","7.249610255412646","0","1","0","1"
"47 ? 2","29","5.552481884995829","47.0","2.0","5.552481884995829","0","1","0","1"
"46 ? 47","30","5.022103049041654","46.0","47.0","5.022103049041654","0","1","0","1"
"23 ? 46","31","6.057370291491826","23.0","46.0","6.057370291491826","0","1","0","1"
"45 ? 23","32","6.674377719879577","45.0","23.0","6.674377719879577","0","1","0","1"
"25 ? 45","33","3.4906182267493895","25.0","45.0","3.4906182267493895","0","1","0","1"
"26 ? 25","34","6.288763777964332","26.0","25.0","6.288763777964332","0","1","0","1"
"27 ? 26","35","3.2493442480282066","27.0","26.0","3.2493442480282066","0","1","0","1"
"44 ? 27","36","1.29431347622058","44.0","27.0","1.29431347622058","0","1","0","1"
"24 ? 44","37","1.049217165932147","24.0","44.0","1.049217165932147","0","1","0","1"
"3 ? 24","38","0.0","3.0","24.0","0.0","0","1","0","1"
"4 ? 3","39","5.722901997790451","4.0","3.0","5.722901997790451","0","1","0","1"
"5 ? 4","40","6.326517933992918","5.0","4.0","6.326517933992918","0","1","0","1"
"6 ? 5","41","3.3122089876090635","6.0","5.0","3.3122089876090635","0","1","0","1"
"7 ? 6","42","5.788345834046531","7.0","6.0","5.788345834046531","0","1","0","1"
"43 ? 7","43","7.361025406538123","43.0","7.0","7.361025406538123","0","1","0","1"
"48 ? 43","44","6.911857001709516","48.0","43.0","6.911857001709516","0","1","0","1"
"49 ? 48","45","8.270683811518229","49.0","48.0","8.270683811518229","0","1","0","1"
"50 ? 49","46","8.212967317028216","50.0","49.0","8.212967317028216","0","1","0","1"
"29 ? 50","47","8.580495162084327","29.0","50.0","8.580495162084327","0","1","0","1"
"19 ? 29","48","7.000339431998834","19.0","29.0","7.000339431998834","0","1","0","1"
"30 ? 19","49","6.248416709222415","30.0","19.0","6.248416709222415","0","1","0","1"
"31 ? 30","50","6.543133694700514","31.0","30.0","6.543133694700514","0","1","0","1"
"32 ? 31","51","7.214157269450324","32.0","31.0","7.214157269450324","0","1","0","1"
"33 ? 32","52","6.1714451392911585","33.0","32.0","6.1714451392911585","0","1","0","1"
"34 ? 33","53","5.571277586548337","34.0","33.0","5.571277586548337","0","1","0","1"
"35 ? 34","54","8.270418105931324","35.0","34.0","8.270418105931324","0","1","0","1"
"8 ? 35","55","6.943035682262358","8.0","35.0","6.943035682262358","0","1","0","1"
"9 ? 8","56","3.217999358574215","9.0","8.0","3.217999358574215","0","1","0","1"
"10 ? 9","57","8.501747313947487","10.0","9.0","8.501747313947487","0","1","0","1"
"61 ? 231","58","8.057316896395932","61.0","231.0","8.057316896395932","0","1","0","1"
"62 ? 61","59","6.8071317093471375","62.0","61.0","6.8071317093471375","0","1","0","1"
"63 ? 62","60","6.63566845878509","63.0","62.0","6.63566845878509","0","1","0","1"
"64 ? 63","61","7.271948209230484","64.0","63.0","7.271948209230484","0","1","0","1"
"65 ? 64","62","5.4885947867362095","65.0","64.0","5.4885947867362095","0","1","0","1"
"66 ? 65","63","5.462741133688136","66.0","65.0","5.462741133688136","0","1","0","1"
"67 ? 66","64","4.341823171687778","67.0","66.0","4.341823171687778","0","1","0","1"
"68 ? 67","65","3.115431085462912","68.0","67.0","3.115431085462912","0","1","0","1"
"69 ? 68","66","1.2960369553873399","69.0","68.0","1.2960369553873399","0","1","0","1"
"70 ? 69","67","0.0","70.0","69.0","0.0","0","1","0","1"
"71 ? 70","68","0.0","71.0","70.0","0.0","0","1","0","1"
"72 ? 71","69","6.524466060571142","72.0","71.0","6.524466060571142","0","1","0","1"
"73 ? 72","70","6.609594634575952","73.0","72.0","6.609594634575952","0","1","0","1"
"74 ? 73","71","3.4494836836219425","74.0","73.0","3.4494836836219425","0","1","0","1"
"75 ? 74","72","6.177253839061612","75.0","74.0","6.177253839061612","0","1","0","1"
"76 ? 75","73","8.968882817173142","76.0","75.0","8.968882817173142","0","1","0","1"
"77 ? 76","74","7.325898407625187","77.0","76.0","7.325898407625187","0","1","0","1"
"146 ? 58","75","5.582823541950485","146.0","58.0","5.582823541950485","0","1","0","1"
"147 ? 146","76","6.379738249432042","147.0","146.0","6.379738249432042","0","1","0","1"
"148 ? 147","77","1.9539342046388335","148.0","147.0","1.9539342046388335","0","1","0","1"
