"Label","ID","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","H","HtoL","adaxials","checked"
"",""," "," ","Mean ch0","Mean ch1","Mean ch2","Std ch0","Std ch1","Std ch2","Median ch0","Median ch1","Median ch2","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag"
"","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","",""
"0","0","2","39","183.22064922313322","152.6635505527516","8093.193048763117","13.819746202306","15.066999929446828","2631.7737983578745","181.0","156.0","7363.0","368.2869919366075","317.2341472678425","31.803061595819635","2.7618414951596093","0","59","0","1","0","1"
"1","1","2","38","190.05659700307433","149.84361803685405","11058.129291978137","14.492110857548072","14.906983151696013","5347.816041790822","188.0","147.0","8695.0","367.2471226127895","323.3175298216456","34.921196053590315","2.7618414951596093","0","59","0","1","0","1"
"2","2","2","37","201.46806978989468","143.21526496216265","10415.12510589444","16.95045336881179","12.588950295617343","3431.349962929737","201.0","144.0","9212.0","365.16801737722443","329.01671382001786","38.890260430433806","2.7618414951596093","0","59","0","1","0","1"
"3","3","2","27","311.1952308720254","109.89543278888212","8359.643353679792","30.7503536495455","4.563871239364802","3873.609940370134","312.0","110.0","7679.0","357.1329459758116","352.30202219679","49.96524029118988","2.7618414951596093","0","59","0","1","0","1"
"4","4","2","26","347.7122489393785","109.35084607234565","8456.300846639875","36.15685749792658","4.262311238432044","4389.699162898011","344.0","109.0","7551.0","358.63791112415095","351.03843823891424","55.340186129056235","2.7618414951596093","0","59","0","1","0","1"
"5","5","2","25","367.99260978345217","108.19901094875028","8443.327200180798","36.02536080477222","3.8367546022593446","3451.396273328942","368.0","108.0","7360.0","358.33698935334104","350.9281502488642","61.65858084735592","2.7618414951596093","0","59","0","1","0","1"
"6","6","2","24","390.67948246592255","107.77246162676747","7895.065731421732","43.88604537183683","3.936742306935505","3867.943543865243","391.0","108.0","6248.0","358.33698935334104","351.29392254204464","58.36663020873149","2.7618414951596093","0","59","0","1","0","1"
"7","7","2","23","413.9722870550088","107.42541620134523","8313.377198076107","37.14137231286805","3.666046805542356","3002.7183923415223","411.0","107.0","7404.0","359.2397546657707","351.1941381700946","64.08327304909787","2.7618414951596093","0","59","0","1","0","1"
"8","8","2","10","474.352900155495","106.80651614432125","4443.309227700397","44.58004247465474","3.622592409024664","634.6130184261107","464.0","107.0","4432.0","366.7495046016201","389.92364900154547","93.68955689654702","2.7618414951596093","0","59","0","1","0","1"
"9","9","2","9","392.98096231965405","106.86042367379252","4643.90917799151","37.945849840006304","3.828343555535311","771.8109371217948","378.0","106.0","4353.0","369.08934913910116","387.71472822245596","93.65327461559917","2.7618414951596093","0","59","0","1","0","1"
"10","10","1","8","378.47435145349044","107.0225749147041","4264.999109855848","29.75366896045046","3.666970881691037","536.3400528663163","381.0","107.0","4241.0","369.08934913910116","384.9714360236023","101.70026506557001","2.7618414951596093","0","59","0","1","0","1"
"11","11","1","66","120.67914704494264","365.13417813418505","9721.0773185665","6.826759593171748","59.512315577599225","3576.1742628872553","120.0","372.0","8831.0","373.37091347078734","245.83921818909835","48.202461786535366","2.7618414951596093","0","59","0","1","0","1"
"12","12","2","62","122.32870517758377","310.89394736962646","11469.839077071738","6.599994008171268","51.69830111761912","3062.846186591979","123.0","305.0","11156.0","370.37757776595765","259.892656963804","50.299732669145925","2.7618414951596093","0","59","0","1","0","1"
"13","13","2","61","123.23995732584528","286.71608390148424","10660.134215664139","6.3901639956608935","47.47497884498258","3192.2349373265647","123.0","283.0","10143.0","370.11703640531385","261.97104973138084","47.25870293757184","2.7618414951596093","0","59","0","1","0","1"
"14","14","2","57","126.80728213330126","281.0244087007324","13348.376320666937","7.583858600136768","38.940259829899915","5108.92337753715","126.0","282.0","12116.0","369.2069231145101","263.40016744302113","44.366540936071424","2.7618414951596093","0","59","0","1","0","1"
"15","15","2","60","123.37408673290581","290.0212475823878","13349.246055678619","6.558225004439054","49.301841764467085","4577.250128465417","124.0","285.0","11976.0","371.1560347875344","264.04904661641336","47.34941779380582","2.7618414951596093","0","59","0","1","0","1"
"16","16","2","55","130.13464152776612","240.73946963477047","12459.531376205026","8.038131295991734","35.282242900545974","4911.1624414831185","129.0","256.0","10930.0","368.9460650478309","266.51771700613205","41.178910447714536","2.7618414951596093","0","59","0","1","0","1"
"17","17","2","54","130.46484988035067","253.59607887322036","14472.926503130739","7.811035159689788","34.62615990855768","3848.1319901244033","130.0","251.0","14371.0","368.16622243734906","266.98116366068393","36.96664626589488","2.7618414951596093","0","59","0","1","0","1"
"18","18","2","53","128.75671646992376","248.53989951959645","13670.09972176445","7.992921537224945","43.24068888852599","4730.376854105876","129.0","233.0","12135.0","368.68572162845936","268.0201621032002","37.01200369401187","2.7618414951596093","0","59","0","1","0","1"
