"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","PSMdtoSom","PSMdtoSomDiv","TBto Som"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","",""
"0","0","","2","178","122.79718719792315","1929.8166938350378","7.484893306047749","251.3996360951815","122.0","1863.0","365.9061612563916","435.5519557285863","129.39311970397392","1.6350799082655798","0","183","1","0","0"
"1","1","","2","177","123.12456912164461","1983.2920894219758","7.9962264389084305","160.44952132431393","122.0","1885.0","366.53282150702785","435.62281818374396","130.3281333027704","1.6350799082655798","0","183","1","0","0"
"2","2","","2","176","123.36363433348545","1826.1740831895518","6.874396264819431","125.54668927747451","124.0","1744.0","366.4875919209945","436.2111125063631","130.34149412472485","1.6350799082655798","0","183","1","0","0"
"3","3","","2","169","128.83230761382288","1755.9937024952087","7.953033357098242","98.58714053309771","129.0","1743.0","366.5769740400861","439.23766348133734","129.4683196080295","1.6350799082655798","0","183","1","0","0"
"4","4","","2","170","127.94736485392141","1724.5743942873228","7.763083097638566","94.84285718533852","127.0","1703.0","366.5769740400861","439.23766348133734","129.4683196080295","1.6350799082655798","0","183","1","0","0"
"5","5","","2","171","127.52586644991499","1690.852758367173","7.633561425399312","122.81474018635545","127.0","1657.0","366.5243898843595","438.4046800788188","129.46987902432093","1.6350799082655798","0","183","1","0","0"
"6","6","","2","172","127.852388916246","1804.8967070776407","8.089447008797427","115.93875795231696","127.0","1753.0","365.75615289770434","438.16437013510097","130.49837280470982","1.6350799082655798","0","183","1","0","0"
"7","7","","2","173","127.26756680804473","1797.4840749810594","7.740713142979441","121.73776479646625","127.0","1789.0","365.75615289770434","438.16437013510097","130.49837280470982","1.6350799082655798","0","183","1","0","0"
"8","8","","2","174","125.4940947629485","1758.5724050597412","7.143145223507982","119.64071906626681","126.0","1730.0","366.27255514556566","437.4959714024919","130.3931783100926","1.6350799082655798","0","183","1","0","0"
"9","9","","2","175","124.54800808040376","1789.6386067826622","7.455538380516268","148.7353423896809","123.0","1699.0","365.9802355903398","436.7618523744483","130.4440164549512","1.6350799082655798","0","183","1","0","0"
"10","10","","1","10","180.59625169636556","3635.899536846443","13.481061767965372","291.24178879393423","178.0","3425.0","385.81020998742457","434.82462273374836","123.20394788264736","2.7618414951596093","0","183","1","0","0"
"11","11","","2","11","180.0578776733211","3855.7890834864706","13.216906731698902","299.46389800939716","177.0","3579.0","386.1786998630901","435.2628030712856","124.42751862100266","2.7618414951596093","0","183","1","0","0"
"12","12","","2","12","174.48462929023185","3763.48375644625","13.477483788303354","279.63735401319184","173.0","3609.0","386.0999657888511","435.9584654439248","123.10198365445109","2.5107649955996445","0","183","1","0","0"
"13","13","","2","13","173.44922594062007","4007.9447950794715","13.177391639053909","307.42717960733484","171.0","3880.0","385.91217421562084","435.895868252848","124.52948284919896","2.5107649955996445","0","183","1","0","0"
"14","14","","2","14","170.77048742501873","4130.320873421187","12.950889250204654","295.15881452559626","168.0","3917.0","386.6562472377469","436.59153062548717","125.34519667476917","2.5107649955996445","0","183","1","0","0"
"15","15","","2","15","163.83916827581027","4051.126999278595","11.454788836694734","243.57707619497629","162.0","3931.0","386.3916719318501","438.15646040240586","124.83537553378778","2.5107649955996445","0","183","1","0","0"
"16","16","","2","16","163.00087708158264","3985.1576621360337","12.08798921150917","277.05727657999495","162.0","3903.0","387.5436018667613","438.3442519756361","125.75305358755428","2.5107649955996445","0","183","1","0","0"
"17","17","","2","17","161.14998300735246","3977.2724326233883","12.42539936809465","232.12190993267063","160.0","3875.0","387.04282433814734","439.4708298056204","125.73338909838522","2.5107649955996445","0","183","1","0","0"
"18","18","","2","18","157.1312540240172","4020.195217641187","11.888679911633671","267.0302101482265","155.0","3789.0","386.91762995599385","440.27742374798004","124.90893549985097","2.5107649955996445","0","183","1","0","0"
"19","19","","2","19","155.91411579468402","3989.247600151372","10.755656138322609","275.1410462147534","155.0","3779.0","387.16801872030084","440.84071266297224","124.89910325526644","2.5107649955996445","0","183","1","0","0"
"20","20","","2","20","156.06616950801995","3824.689145449479","10.519679576963872","240.20578168336655","155.0","3708.0","387.16801872030084","440.84071266297224","124.89910325526644","2.5107649955996445","0","183","1","0","0"
"21","21","","2","21","158.2672684476363","3766.824828987317","10.864502475543812","298.2841109532576","155.0","3513.0","387.29321310245433","442.2802287790633","125.68969023356506","2.5107649955996445","0","183","1","0","0"
"22","22","","2","22","161.01478719531582","3876.424659791393","12.20064370748865","274.93277988155705","161.0","3713.0","387.73139343999156","442.21764112184195","125.69078270518555","2.5107649955996445","0","183","1","0","0"
"23","23","","2","23","162.76013605175083","3997.960091875864","12.085763376494974","221.49468439471238","161.0","3870.0","387.4184074846078","442.59316706517006","125.68422787546254","2.5107649955996445","0","183","1","0","0"
"24","24","","2","24","166.18750066073204","4001.8456516033684","12.58167688796065","204.25418590303752","165.0","3967.0","386.7995288446353","442.4679917507274","126.50212664427376","2.5107649955996445","0","183","1","0","0"
"25","25","","2","25","170.178971574534","3857.2373504921666","12.504323826180936","172.4228667911865","170.0","3856.0","387.0829993575895","442.470414418115","126.89969255486801","2.5107649955996445","0","183","1","0","0"
"26","26","","2","26","170.27543604665973","3878.2248146936","13.767576127491393","179.5179251996841","170.0","3841.0","386.51504507895754","443.18116460139174","126.48552430207327","2.5107649955996445","0","183","1","0","0"
"27","27","","2","27","174.1710963505388","3851.775671800625","13.43080724767084","187.9785950145065","173.0","3841.0","387.2803249292047","444.5631258171026","126.89547262834239","2.2825136323633135","0","183","1","0","0"
"28","28","","2","28","172.617146539053","3664.926826787944","13.123720178882744","197.27707261179276","172.0","3680.0","386.5177382476296","445.42952381929797","126.88681888268898","2.2825136323633135","0","183","1","0","0"
"29","29","495.5581929006448","2","29","171.30751260565694","3673.4675193356356","13.778532653629584","240.2613827198888","171.0","3601.0","385.75569342292545","445.57810078150874","126.32974881663459","2.2825136323633135","0","183","1","0","0"
"30","30","478.4536855338923","2","30","167.11056867145837","3595.7719425930363","12.775182128293137","236.15530150220428","167.0","3614.0","385.11241127715004","446.58805450088045","126.37119485350223","2.2825136323633135","0","183","1","0","0"
"31","31","415.540317316526","2","31","169.1218318758655","3582.97638483049","13.15270076018021","217.22511441834158","169.0","3543.0","385.4938667958363","446.10020900250817","127.33781678416568","2.2825136323633135","0","183","1","0","0"
"32","32","","2","32","164.0800947227129","3628.034791504342","11.39942232877518","232.8650944767857","165.0","3607.0","384.99308926722233","446.10020900250817","127.40041397524243","2.2825136323633135","0","183","1","0","0"
"33","33","","2","33","160.14676348945505","3623.8701599181777","11.48017015729158","270.6439232337418","160.0","3633.0","383.6746133629089","446.3958667398753","127.38677307404491","2.2825136323633135","0","183","1","0","0"
"34","34","","2","34","157.3347632260616","3577.4712666875766","11.333745742079936","250.3049881072351","157.0","3498.0","383.7330863626778","446.70964925131256","127.38701886321901","2.2825136323633135","0","183","1","0","0"
"35","35","","2","35","160.21545764649915","3834.948560415959","12.446693190458321","241.10802240282038","160.0","3854.0","383.0836503318076","446.9947723915014","128.80641518746367","2.2825136323633135","0","183","1","0","0"
"36","36","","2","36","156.27694078565122","3905.1213371166423","12.24775798136007","208.58469127986345","156.0","3854.0","383.0820040970955","447.11995585472954","128.80626101785384","2.0750123930575572","0","183","1","0","0"
"37","37","","2","37","155.6701030965513","3920.20254897455","12.361899193297454","236.32011225665826","155.0","3952.0","382.7040032257321","447.3027879293709","128.80224248424682","2.0750123930575572","0","183","1","0","0"
"38","38","","2","38","154.6812605720834","3917.341928278618","10.987897829571663","234.6377663201953","154.0","3974.0","382.5722411137853","447.8018740755499","128.80036337941002","2.0750123930575572","0","183","1","0","0"
"39","39","","2","39","153.43373388070165","3918.979923378159","11.231358491324364","244.74171141857545","155.0","3975.0","382.0649474825433","448.29601710152804","128.79469699538097","2.0750123930575572","0","183","1","0","0"
"40","40","","2","40","154.74568529025032","3706.8849197035406","11.695387593111795","291.5898659876702","156.0","3857.0","381.67752235245615","449.07055233670644","129.2886799531061","2.0750123930575572","0","183","1","0","0"
"41","41","","2","41","152.8248898873732","3585.847648708744","11.32095901285268","232.3019402320349","154.0","3650.0","381.3648052344095","449.2197472783593","128.59716422591757","2.0750123930575572","0","183","1","0","0"
"42","42","","2","42","158.73474674131816","3532.3917153517104","11.818705799575254","234.62691633422244","161.0","3627.0","380.7232801391525","450.40075164535875","128.58938748263697","2.0750123930575572","0","183","1","0","0"
"43","43","","2","43","164.6951473269338","3524.4134140116535","12.444287231461509","258.9409543986451","164.0","3539.0","380.64917067788406","450.74812771615024","128.08961152093383","2.0750123930575572","0","183","1","0","0"
