Label,ID,Link displacement,Link target IDs,Link target IDs,Link velocity
,, ,Source spot id,Target spot id, 
,,(micron),,,(micron/frame)
230 ? 231,126,0.9289342475869820,230.0,231.0,0.9289342475869820
231 ? 232,127,1.0266137534051700,231.0,232.0,1.0266137534051700
232 ? 233,128,1.7122852797850500,232.0,233.0,1.7122852797850500
233 ? 234,129,0.8411439707416790,233.0,234.0,0.8411439707416790
234 ? 235,130,0.8002646410871880,234.0,235.0,0.8002646410871880
235 ? 236,131,0.7532380201016970,235.0,236.0,0.7532380201016970
236 ? 237,132,0.15064760402036400,236.0,237.0,0.15064760402036400
237 ? 238,133,0.7532380201016520,237.0,238.0,0.7532380201016520
238 ? 239,134,1.0967311118249000,238.0,239.0,1.0967311118249000
239 ? 240,135,0.8734049588934980,239.0,240.0,0.8734049588934980
240 ? 241,136,0.8518766557369010,240.0,241.0,0.8518766557369010
241 ? 242,137,0.6337555976619950,241.0,242.0,0.6337555976619950
242 ? 243,138,0.2917418809006800,242.0,243.0,0.2917418809006800
243 ? 244,139,0.7486433569432100,243.0,244.0,0.7486433569432100
244 ? 245,140,0.7637838251253450,244.0,245.0,0.7637838251253450
245 ? 246,141,0.36735909321433200,245.0,246.0,0.36735909321433200
246 ? 247,142,0.12895538114136200,246.0,247.0,0.12895538114136200
247 ? 248,143,0.4158277001301810,247.0,248.0,0.4158277001301810
248 ? 249,144,0.5444665607289520,248.0,249.0,0.5444665607289520
249 ? 250,145,0.5616625314941450,249.0,250.0,0.5616625314941450
250 ? 251,146,1.4427057083173700,250.0,251.0,1.4427057083173700
251 ? 252,147,1.2635031005798400,251.0,252.0,1.2635031005798400
252 ? 253,148,0.9011455960601740,252.0,253.0,0.9011455960601740
253 ? 254,149,0.6448377410633820,253.0,254.0,0.6448377410633820
254 ? 255,150,0.6782650739630110,254.0,255.0,0.6782650739630110
255 ? 256,151,1.4301180893989200,255.0,256.0,1.4301180893989200
256 ? 257,152,0.5363605451048430,256.0,257.0,0.5363605451048430
257 ? 258,153,1.0549730528431800,257.0,258.0,1.0549730528431800
258 ? 259,154,0.5778261563116350,258.0,259.0,0.5778261563116350
259 ? 260,155,0.5284222681557300,259.0,260.0,0.5284222681557300
260 ? 261,156,1.3010544369416900,260.0,261.0,1.3010544369416900
261 ? 262,157,0.48293007322141800,261.0,262.0,0.48293007322141800
262 ? 263,158,1.958788389028070,262.0,263.0,1.958788389028070
263 ? 264,159,0.7395399377871240,263.0,264.0,0.7395399377871240
264 ? 265,160,0.59885531411392,264.0,265.0,0.59885531411392
265 ? 266,161,0.6623975125426130,265.0,266.0,0.6623975125426130
266 ? 267,162,0.18803819120700700,266.0,267.0,0.18803819120700700
267 ? 268,163,0.7421865940088480,267.0,268.0,0.7421865940088480
268 ? 269,164,0.6456412016879220,268.0,269.0,0.6456412016879220
269 ? 270,165,1.5498014570894200,269.0,270.0,1.5498014570894200
270 ? 271,166,0.6507080272217250,270.0,271.0,0.6507080272217250
271 ? 272,167,0.17210642725709200,271.0,272.0,0.17210642725709200
272 ? 273,168,0.5653236531515190,272.0,273.0,0.5653236531515190
273 ? 274,169,1.2736738847871900,273.0,274.0,1.2736738847871900
274 ? 275,170,0.4265711260935420,274.0,275.0,0.4265711260935420
275 ? 276,171,0.907370371409583,275.0,276.0,0.907370371409583
276 ? 277,172,0.6552211899158050,276.0,277.0,0.6552211899158050
277 ? 278,173,0.2795115937447450,277.0,278.0,0.2795115937447450
278 ? 279,174,0.5219761481450770,278.0,279.0,0.5219761481450770
279 ? 280,175,0.47966233572882400,279.0,280.0,0.47966233572882400
280 ? 281,176,0.39365303039678100,280.0,281.0,0.39365303039678100
281 ? 282,177,0.43399785290715200,281.0,282.0,0.43399785290715200
282 ? 283,178,0.26835522879177400,282.0,283.0,0.26835522879177400
283 ? 284,195,0.5460559335704030,283.0,284.0,0.5460559335704030
284 ? 285,196,0.8040539426408100,284.0,285.0,0.8040539426408100
285 ? 286,197,0.2758951627388390,285.0,286.0,0.2758951627388390
286 ? 287,198,0.39321822006777900,286.0,287.0,0.39321822006777900
287 ? 288,199,0.27533623144558800,287.0,288.0,0.27533623144558800
288 ? 289,200,0.9883933058914990,288.0,289.0,0.9883933058914990
289 ? 290,201,0.4763895527514280,289.0,290.0,0.4763895527514280
290 ? 291,202,0.6391436542336900,290.0,291.0,0.6391436542336900
291 ? 292,203,0.6025904160813410,291.0,292.0,0.6025904160813410
292 ? 293,204,0.0,292.0,293.0,0.0
293 ? 294,205,0.8112621754494830,293.0,294.0,0.8112621754494830
294 ? 295,206,0.0,294.0,295.0,0.0
295 ? 296,207,1.2422719672441800,295.0,296.0,1.2422719672441800
296 ? 297,208,0.0,296.0,297.0,0.0
297 ? 298,209,0.952779105502802,297.0,298.0,0.952779105502802
298 ? 299,210,0.6737165664738820,298.0,299.0,0.6737165664738820
299 ? 300,211,0.0,299.0,300.0,0.0
300 ? 301,212,0.0,300.0,301.0,0.0
