"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Adaxial","Div","Som1"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag"
"","","","(micron)","","","(micron/frame)","","",""
"80 ? 50","0","0.15897407498808874","0.3987155314106647","80.0","50.0","0.3987155314106647","0","0","1"
"81 ? 80","1","0.9965691594903274","0.9982831058824583","81.0","80.0","0.9982831058824583","0","0","1"
"82 ? 81","2","0.5541409034395332","0.7444064101279174","82.0","81.0","0.7444064101279174","0","0","1"
"83 ? 82","3","0.2508664700809162","0.5008657206087438","83.0","82.0","0.5008657206087438","0","0","1"
"84 ? 83","4","0.5042013354606136","0.7100713594143997","84.0","83.0","0.7100713594143997","0","0","1"
"85 ? 84","5","0.7780812229079705","0.8820891241297393","85.0","84.0","0.8820891241297393","0","0","1"
"86 ? 85","6","0.5160066094411826","0.718336000379476","86.0","85.0","0.718336000379476","0","0","1"
"87 ? 86","7","0.5505929304412182","0.7420194946503886","87.0","86.0","0.7420194946503886","0","0","1"
"88 ? 87","8","0.33160685224376796","0.5758531516313582","88.0","87.0","0.5758531516313582","0","0","1"
"89 ? 88","9","0.6011170033771225","0.7753173565560896","89.0","88.0","0.7753173565560896","0","0","1"
"90 ? 89","10","2.8807296954384736","1.697271249812025","90.0","89.0","1.697271249812025","0","0","1"
"91 ? 90","11","0.7689759716827641","0.8769127503251187","91.0","90.0","0.8769127503251187","0","0","1"
"51 ? 91","12","4.879431023137441","2.2089434178216156","51.0","91.0","2.2089434178216156","0","0","1"
"0 ? 51","13","2.3102911840739186","1.5199642048659958","0.0","51.0","1.5199642048659958","0","0","1"
"2 ? 0","14","3.386768607535682","1.8403175289975593","2.0","0.0","1.8403175289975593","0","0","1"
"3 ? 2","15","0.5059256240045307","0.7112844887979286","3.0","2.0","0.7112844887979286","0","0","1"
"4 ? 3","16","0.6862663884444841","0.8284119678303085","4.0","3.0","0.8284119678303085","0","0","1"
"5 ? 4","17","0.21077903844924323","0.4591067832751366","5.0","4.0","0.4591067832751366","0","0","1"
"6 ? 5","18","0.23424024859746162","0.4839837276163958","6.0","5.0","0.4839837276163958","0","0","1"
"7 ? 6","19","4.528632809124254","2.128058459987473","7.0","6.0","2.128058459987473","0","0","1"
"8 ? 7","20","0.7955391765613635","0.8919300289604356","8.0","7.0","0.8919300289604356","0","0","1"
"9 ? 8","21","0.6008935382792016","0.7751732311420471","9.0","8.0","0.7751732311420471","0","0","1"
"10 ? 9","22","0.0021181546775898108","0.04602341444949311","10.0","9.0","0.04602341444949311","0","0","1"
"11 ? 10","23","0.2108227492207872","0.45915438495215005","11.0","10.0","0.45915438495215005","0","0","1"
"12 ? 11","24","0.7713285229572874","0.8782531087091507","12.0","11.0","0.8782531087091507","0","0","1"
"13 ? 12","25","0.5796937624405277","0.7613762292326492","13.0","12.0","0.7613762292326492","0","0","1"
"14 ? 13","26","1.093816042059909","1.045856606834756","14.0","13.0","1.045856606834756","0","0","1"
"15 ? 14","27","0.254333695659148","0.5043150757801594","15.0","14.0","0.5043150757801594","0","0","1"
"16 ? 15","28","0.882156264519931","0.9392317416484235","16.0","15.0","0.9392317416484235","0","0","1"
"17 ? 16","29","2.1469635496678094","1.4652520430519145","17.0","16.0","1.4652520430519145","0","0","1"
"1 ? 17","30","1.9014687774137682","1.3789375538485302","1.0","17.0","1.3789375538485302","0","0","1"
"52 ? 1","31","0.4719590961665572","0.686992791932024","52.0","1.0","0.686992791932024","0","0","1"
"53 ? 52","32","3.0248807275521536","1.739218424336677","53.0","52.0","1.739218424336677","0","0","1"
"54 ? 53","33","0.6599339470906654","0.812363186690944","54.0","53.0","0.812363186690944","0","0","1"
"55 ? 54","34","0.15566253987645068","0.39454092294266596","55.0","54.0","0.39454092294266596","0","0","1"
"56 ? 55","35","0.22392192542746836","0.47320389413810654","56.0","55.0","0.47320389413810654","0","0","1"
"57 ? 56","36","0.08227296068620697","0.28683263532277314","57.0","56.0","0.28683263532277314","0","0","1"
"58 ? 57","37","0.11636285330523972","2.0037277954106676","58.0","57.0","2.0037277954106676","0","0","1"
"59 ? 58","38","","0.0","59.0","58.0","0.0","0","0","1"
"60 ? 59","39","","1.1399947276008702","60.0","59.0","1.1399947276008702","0","0","1"
"61 ? 60","40","2.394511846268272","1.5474210307050476","61.0","60.0","1.5474210307050476","0","0","1"
"62 ? 61","41","0.4376717242424071","0.6615676263560718","62.0","61.0","0.6615676263560718","0","0","1"
