Tplus,Tminus
19.5,18
25.5,19.5
22.5,15
24,15
12,10.5
16.5,19.5
18,18
22.5,12
21,13.5
13.5,19.5
19.5,16.5
15,16.5
21,21
21,18
18,19.5
25.5,18
24,19.5
22.5,15
15,16.5
21,16.5
18,10.5
25.5,13.5
19.5,16.5
28.5,16.5
24,21
16.5,16.5
21,12
24,24
18,16.5
18,16.5
19.5,16.5
24,12
16.5,19.5
28.5,15
22.5,13.5
24,24
22.5,36
24,15
24,21
22.5,15
21,18
25.5,24
21,24
24,21
18,16.5
13.5,16.5
25.5,18
21,19.5
18,19.5
19.5,15
22.5,25.5
21,18
19.5,13.5
16.5,24
25.5,15
24,13.5
24,21
18,19.5
28.5,15
19.5,15
19.5,15
21,16.5
19.5,16.5
27,30
25.5,13.5
19.5,16.5
18,18
22.5,18
24,19.5
22.5,15
15,19.5
22.5,15
24,22.5
19.5,21
27,22.5
22.5,22.5
28.5,48
30,19.5
25.5,10.5
21,21
52.5,4.5
25.5,13.5
15,19.5
22.5,18
22.5,18
19.5,18
21,18
21,12
18,19.5
21,21
18,19.5
19.5,18
25.5,15
30,19.5
24,24
22.5,18
22.5,16.5
16.5,18
21,24
19.5,18
21,12
15,15
21,18
28.5,18
24,25.5
18,18
16.5,16.5
18,13.5
25.5,24
16.5,12
19.5,16.5
21,13.5
22.5,15
21,9
21,13.5
25.5,18
22.5,24
18,16.5
22.5,16.5
25.5,22.5
27,21
21,15
28.5,21
18,16.5
25.5,15
33,18
22.5,21
22.5,21
24,16.5
27,21
30,21
24,25.5
