"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","TBtoPSMd","TBtoSom","TBtoSom25","TBtoTB","checked"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","","(µm)","","","(µm/frame)","","","","",""
"2083 ? 2073","189","","13.420798275147073","2083.0","2073.0","6.710399137573536","0","0","0","0","0"
"2586 ? 2585","215","","4.434749858262487","2586.0","2585.0","1.4782499527541624","0","0","0","0","0"
"2278 ? 2277","861","","5.869850207702765","2278.0","2277.0","2.9349251038513824","0","0","0","0","0"
"1916 ? 1915","870","","9.429608217799068","1916.0","1915.0","4.714804108899534","0","0","0","0","0"
"1806 ? 1805","945","","8.988416683166758","1806.0","1805.0","1.7976833366333516","0","0","0","0","0"
"2551 ? 2550","1007","","0.6030486466284003","2551.0","2550.0","0.30152432331420015","0","0","0","0","0"
"2276 ? 2275","1018","","3.2006328202255325","2276.0","2275.0","1.6003164101127663","0","0","0","0","0"
"1880 ? 1879","1021","","5.554328989484804","1880.0","1879.0","2.777164494742402","0","0","0","0","0"
"2116 ? 2312","1031","","6.914959143579364","2116.0","2312.0","3.457479571789682","0","0","0","0","0"
"1780 ? 1779","1365","","2.9192099295703287","1780.0","1779.0","1.4596049647851643","0","0","0","0","0"
"1825 ? 1824","1409","","5.184369000570897","1825.0","1824.0","2.5921845002854487","0","0","0","0","0"
"1832 ? 1831","1416","","19.626073949506363","1832.0","1831.0","9.813036974753182","0","0","0","0","0"
"1851 ? 1850","1435","","4.017643989627343","1851.0","1850.0","2.0088219948136716","0","0","0","0","0"
"1852 ? 1851","1436","","5.063060868008715","1852.0","1851.0","2.5315304340043574","0","0","0","0","0"
"1865 ? 1864","1449","","5.129360699145309","1865.0","1864.0","2.5646803495726544","0","0","0","0","0"
"1867 ? 1866","1451","","3.9612848337265767","1867.0","1866.0","1.9806424168632883","0","0","0","0","0"
"1871 ? 1870","1455","","13.06548132695238","1871.0","1870.0","3.266370331738095","0","0","0","0","0"
"2274 ? 2273","1460","","2.0077480775992487","2274.0","2273.0","1.0038740387996243","0","0","0","0","0"
"1876 ? 1875","1461","","7.700409689735506","1876.0","1875.0","3.850204844867753","0","0","0","0","0"
"1768 ? 1767","1757","42.97430530868007","6.5554790296880725","1768.0","1767.0","6.5554790296880725","0","0","0","1","1"
"1769 ? 1768","1758","4.744066838044889","2.178087885748619","1769.0","1768.0","2.178087885748619","0","0","0","1","1"
"1770 ? 1769","1759","6.24439585262067","2.498878919159684","1770.0","1769.0","2.498878919159684","0","0","0","1","1"
"1771 ? 1770","1760","1.9351900524805685","1.391111085600488","1771.0","1770.0","1.391111085600488","0","0","0","1","1"
"1772 ? 1771","1761","6.7888589019130166","2.6055438783319342","1772.0","1771.0","2.6055438783319342","0","0","0","1","1"
"1773 ? 1772","1762","19.39339636639598","4.403793406416334","1773.0","1772.0","4.403793406416334","0","0","0","1","1"
"1774 ? 1773","1763","5.298660143411715","2.301881869995008","1774.0","1773.0","2.301881869995008","0","0","0","1","1"
"1775 ? 1774","1764","3.4659066886972854","1.8616945744931646","1775.0","1774.0","1.8616945744931646","0","0","0","1","1"
"1776 ? 1775","1765","2.9104166457416785","1.7059943275819174","1776.0","1775.0","1.7059943275819174","0","0","0","1","1"
"1777 ? 1776","1766","0.3061046863332819","0.5532672829051813","1777.0","1776.0","0.5532672829051813","0","0","0","1","1"
"1778 ? 1777","1767","0.5459524942192895","0.7388859818803504","1778.0","1777.0","0.7388859818803504","0","0","0","1","1"
"1779 ? 1778","1768","2.8005562473091747","1.6734862554885759","1779.0","1778.0","1.6734862554885759","0","0","0","1","1"
"2019 ? 2018","1769","","2.1898983562273915","2019.0","2018.0","1.0949491781136957","0","0","0","0","0"
"1781 ? 1780","1770","12.166205485362946","3.4880088138310295","1781.0","1780.0","3.4880088138310295","0","0","0","1","1"
"1782 ? 1781","1771","0.1154442126190724","0.33977082367247546","1782.0","1781.0","0.33977082367247546","0","0","0","1","1"
"1783 ? 1782","1772","0.6808878638590927","0.8251592960508248","1783.0","1782.0","0.8251592960508248","0","0","0","1","1"
"1785 ? 1784","1774","12.250385374494305","3.5000550530662093","1785.0","1784.0","3.5000550530662093","0","0","0","1","1"
"1786 ? 1785","1775","1.1623705650417662","1.0781329069468968","1786.0","1785.0","1.0781329069468968","0","0","0","1","1"
"1787 ? 1786","1776","0.4334528095618558","0.658371331060106","1787.0","1786.0","0.658371331060106","0","0","0","1","1"
"1788 ? 1787","1777","0.5244696136112754","0.7242027434436267","1788.0","1787.0","0.7242027434436267","0","0","0","1","1"
"1789 ? 1788","1778","1.367976773912905","1.169605392392197","1789.0","1788.0","1.169605392392197","0","0","0","1","1"
"1790 ? 1789","1779","1.115771503828614","1.0563008585761038","1790.0","1789.0","1.0563008585761038","0","0","0","1","1"
"1791 ? 1790","1780","6.677173965740163","2.5840228260872937","1791.0","1790.0","2.5840228260872937","0","0","0","1","1"
"1793 ? 1792","1782","3.1342126375005286","1.7703707627219019","1793.0","1792.0","1.7703707627219019","0","0","0","1","1"
"1794 ? 1793","1783","3.8781722674712418","1.9693075604057488","1794.0","1793.0","1.9693075604057488","0","0","0","1","1"
"1795 ? 1794","1784","1.550844881351248","1.245329226088928","1795.0","1794.0","1.245329226088928","0","0","0","1","1"
"1796 ? 1795","1785","1.3753171907899224","1.1727391827639777","1796.0","1795.0","1.1727391827639777","0","0","0","1","1"
