"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"3088 ? 3089","170","1.2899804313789598","3088.0","3089.0","0.32249510784473995","0","0","0","0","0"
"3052 ? 3053","2120","2.0107064750457226","3052.0","3053.0","1.0053532375228613","0","0","0","0","0"
"2959 ? 2960","2928","1.34479845548554","2959.0","2960.0","1.34479845548554","0","1","0","1","0"
"2960 ? 2961","2929","1.3447984554855725","2960.0","2961.0","1.3447984554855725","0","1","0","1","0"
"2961 ? 2962","2930","1.560373943150726","2961.0","2962.0","1.560373943150726","0","1","0","1","0"
"2962 ? 2963","2931","1.1033509963887456","2962.0","2963.0","1.1033509963887456","0","1","0","1","0"
"2963 ? 2964","2932","2.556462113131727","2963.0","2964.0","2.556462113131727","0","1","0","1","0"
"2964 ? 2965","2933","1.4907171219311495","2964.0","2965.0","1.4907171219311495","0","1","0","1","0"
"2965 ? 2966","2934","3.2652972853329922","2965.0","2966.0","3.2652972853329922","0","1","0","1","0"
"2966 ? 2967","2935","2.3088202053362843","2966.0","2967.0","2.3088202053362843","0","1","0","1","0"
"2967 ? 2968","2936","2.773324708498037","2967.0","2968.0","2.773324708498037","0","1","0","1","0"
"2968 ? 2969","2937","1.9637261308455862","2968.0","2969.0","1.9637261308455862","0","1","0","1","0"
"2969 ? 2970","2938","3.357117250176002","2969.0","2970.0","3.357117250176002","0","1","0","1","0"
"2970 ? 2971","2939","2.016761579519108","2970.0","2971.0","2.016761579519108","0","1","0","1","0"
"2971 ? 2972","2940","1.2470583562471804","2971.0","2972.0","1.2470583562471804","0","1","0","1","0"
"2972 ? 2973","2941","2.1501726073331575","2972.0","2973.0","2.1501726073331575","0","1","0","1","0"
"2973 ? 2974","2942","0.4891365302379307","2973.0","2974.0","0.4891365302379307","0","1","0","1","0"
"2974 ? 2975","2943","0.7596220559377828","2974.0","2975.0","0.7596220559377828","0","1","0","1","0"
"2975 ? 2976","2944","3.225853209176856","2975.0","2976.0","3.225853209176856","0","1","0","1","0"
"2976 ? 2977","2945","1.3140590377921404","2976.0","2977.0","1.3140590377921404","0","1","0","1","0"
"2977 ? 2978","2946","2.4021358576632332","2977.0","2978.0","2.4021358576632332","0","1","0","1","0"
"2978 ? 2979","2947","2.0852871219421","2978.0","2979.0","2.0852871219421","0","1","0","1","0"
"2979 ? 2980","2948","2.47713047594988","2979.0","2980.0","2.47713047594988","0","1","0","1","0"
"2980 ? 2981","2949","1.539946348729795","2980.0","2981.0","1.539946348729795","0","1","0","1","0"
"2981 ? 2982","2950","1.0136010875778934","2981.0","2982.0","1.0136010875778934","0","1","0","1","0"
"2982 ? 2983","2951","1.7212013890334514","2982.0","2983.0","1.7212013890334514","0","1","0","1","0"
"2983 ? 2984","2952","2.001824013732833","2983.0","2984.0","2.001824013732833","0","1","0","1","0"
"2984 ? 2985","2953","0.8497226194993277","2984.0","2985.0","0.8497226194993277","0","1","0","1","0"
"2985 ? 2986","2954","1.7589633414066486","2985.0","2986.0","1.7589633414066486","0","1","0","1","0"
"2986 ? 2987","2955","2.4073256887466794","2986.0","2987.0","2.4073256887466794","0","1","0","1","0"
"2987 ? 2988","2956","2.8819288089626474","2987.0","2988.0","2.8819288089626474","0","1","0","1","0"
"2988 ? 2989","2957","0.9818630654227718","2988.0","2989.0","0.9818630654227718","0","1","0","1","0"
"2989 ? 2990","2958","2.0552922669927325","2989.0","2990.0","2.0552922669927325","0","1","0","1","0"
"2990 ? 2991","2959","2.714209405014116","2990.0","2991.0","2.714209405014116","0","1","0","1","0"
"2991 ? 2992","2960","3.905339053609783","2991.0","2992.0","3.905339053609783","0","1","0","1","0"
"2992 ? 2993","2961","0.7216165746143914","2992.0","2993.0","0.7216165746143914","0","1","0","1","0"
"2993 ? 2994","2962","3.817156615092886","2993.0","2994.0","3.817156615092886","0","1","0","1","0"
"2994 ? 2995","2963","1.4650099004888273","2994.0","2995.0","1.4650099004888273","0","1","0","1","0"
"2995 ? 2996","2964","1.5671239700897088","2995.0","2996.0","1.5671239700897088","0","1","0","1","0"
"2996 ? 2997","2965","0.0","2996.0","2997.0","0.0","0","1","0","1","0"
"2997 ? 2998","2966","0.716724202444372","2997.0","2998.0","0.716724202444372","0","1","0","1","0"
"2998 ? 2999","2967","1.0136010875778858","2998.0","2999.0","1.0136010875778858","0","1","0","1","0"
"2999 ? 3000","2968","0.0","2999.0","3000.0","0.0","0","1","0","1","0"
"3000 ? 3001","2969","3.048486095275752","3000.0","3001.0","3.048486095275752","0","1","0","1","0"
