"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot median intensity","Spot median intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","Median ch0","Median ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"2959","2959","","1","10","161.71027135982123","4003.1343398354156","12.029376132439719","206.12655948196004","160.0","4045.0","353.86293278006764","493.42848095287025","138.00958370911434","1.6927574147108069","0","145","0","1","0","1","0"
"2960","2960","","2","11","154.95651420537956","3970.9925538132297","10.960920051825713","180.3080344960214","156.0","3826.0","355.20174126848246","493.51562212323637","137.91749063851768","1.6927574147108069","0","145","0","1","0","1","0"
"2961","2961","","2","12","153.80717838812134","3823.8727983294907","10.154775433376264","190.67682062942822","155.0","3718.0","355.2837896835287","494.85779927006905","137.93513858414488","1.6927574147108069","0","145","0","1","0","1","0"
"2962","2962","","2","13","150.31915388237644","3869.9033460426685","10.247733497557183","194.13727718100665","149.0","3869.0","356.5378953253696","495.7834692647902","137.8635778236717","1.6927574147108069","0","145","0","1","0","1","0"
"2963","2963","","2","14","146.42694188541483","3895.294752973403","10.38735713345393","161.626102503098","146.0","3901.0","356.36920428686386","496.87341376741136","137.89436314429352","1.6927574147108069","0","145","0","1","0","1","0"
"2964","2964","","2","15","144.8430381985028","3669.6917247610986","9.61754898435745","208.86834163072967","145.0","3481.0","354.55572658972267","497.66776939342924","136.2770207818782","1.6927574147108069","0","145","0","1","0","1","0"
"2965","2965","","2","16","144.27395839770867","3790.856913387931","9.839537497779304","195.5310453028921","145.0","3798.0","353.1424195483227","498.14171490899514","136.29030207033196","1.6927574147108069","0","145","0","1","0","1","0"
"2966","2966","","2","17","142.61000310396435","4220.669237244833","8.546739694897912","244.92377297725716","143.0","4243.0","350.0129332230418","499.07307781963357","136.3226259031763","1.6927574147108069","0","145","0","1","0","1","0"
