"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"1692 ? 1693","0","2.6448099743227416","1692.0","1693.0","0.6612024935806854","0","0","0","0","0"
"1282 ? 1283","1","0.8900381860374348","1282.0","1283.0","0.4450190930187174","0","0","0","0","0"
"0 ? 1","2","1.2556843161527238","0.0","1.0","1.2556843161527238","0","0","1","1","0"
"1 ? 2","3","1.2342164861377611","1.0","2.0","1.2342164861377611","0","0","1","1","0"
"2 ? 3","4","2.889759709992197","2.0","3.0","2.889759709992197","0","0","1","1","0"
"3 ? 4","5","1.0347609132678632","3.0","4.0","1.0347609132678632","0","0","1","1","0"
"4 ? 5","6","0.9116983286887608","4.0","5.0","0.9116983286887608","0","0","1","1","0"
"5 ? 6","7","0.5720615710365895","5.0","6.0","0.5720615710365895","0","0","1","1","0"
"6 ? 7","8","0.8462140978002151","6.0","7.0","0.8462140978002151","0","0","1","1","0"
"7 ? 8","9","1.8655912213685995","7.0","8.0","1.8655912213685995","0","0","1","1","0"
"8 ? 9","10","0.6732977651197601","8.0","9.0","0.6732977651197601","0","0","1","1","0"
"9 ? 10","11","1.2881608713842565","9.0","10.0","1.2881608713842565","0","0","1","1","0"
"10 ? 11","12","0.7223275104073301","10.0","11.0","0.7223275104073301","0","0","1","1","0"
"11 ? 12","13","1.7399077672247154","11.0","12.0","1.7399077672247154","0","0","1","1","0"
"12 ? 13","14","0.584923720564911","12.0","13.0","0.584923720564911","0","0","1","1","0"
"13 ? 14","15","2.078332012902023","13.0","14.0","2.078332012902023","0","0","1","1","0"
"14 ? 15","16","1.12512324118473","14.0","15.0","1.12512324118473","0","0","1","1","0"
"15 ? 16","17","0.6204052939324749","15.0","16.0","0.6204052939324749","0","0","1","1","0"
"16 ? 17","18","0.852665519191972","16.0","17.0","0.852665519191972","0","0","1","1","0"
"17 ? 18","19","1.5722375322781659","17.0","18.0","1.5722375322781659","0","0","1","1","0"
"18 ? 19","20","1.4147417394863913","18.0","19.0","1.4147417394863913","0","0","1","1","0"
"19 ? 20","21","1.795725348553964","19.0","20.0","1.795725348553964","0","0","1","1","0"
"20 ? 21","22","3.372184341304098","20.0","21.0","3.372184341304098","0","0","1","1","0"
"21 ? 22","23","1.613501693691107","21.0","22.0","1.613501693691107","0","0","1","1","0"
"22 ? 23","24","1.021562020984972","22.0","23.0","1.021562020984972","0","0","1","1","0"
"23 ? 24","25","2.320111400375934","23.0","24.0","2.320111400375934","0","0","1","1","0"
"24 ? 25","26","2.185331324873506","24.0","25.0","2.185331324873506","0","0","1","1","0"
"25 ? 26","27","2.468401488131477","25.0","26.0","2.468401488131477","0","0","1","1","0"
"26 ? 27","28","2.913573613627259","26.0","27.0","2.913573613627259","0","0","1","1","0"
"27 ? 28","29","1.9332825833978606","27.0","28.0","1.9332825833978606","0","0","1","1","0"
"28 ? 29","30","2.392584756737578","28.0","29.0","2.392584756737578","0","0","1","1","0"
"29 ? 30","31","1.269087508851697","29.0","30.0","1.269087508851697","0","0","1","1","0"
"30 ? 31","32","0.25647641982918334","30.0","31.0","0.25647641982918334","0","0","1","1","0"
"31 ? 32","33","0.8238902346287617","31.0","32.0","0.8238902346287617","0","0","1","1","0"
"32 ? 33","34","1.4817513747051159","32.0","33.0","1.4817513747051159","0","0","1","1","0"
"33 ? 34","35","0.8239180481830067","33.0","34.0","0.8239180481830067","0","0","1","1","0"
"34 ? 35","36","0.6263929158785384","34.0","35.0","0.6263929158785384","0","0","1","1","0"
"35 ? 36","37","0.34153985797752634","35.0","36.0","0.34153985797752634","0","0","1","1","0"
"36 ? 37","38","2.1488684098981565","36.0","37.0","2.1488684098981565","0","0","1","1","0"
"37 ? 38","39","0.6482561910697983","37.0","38.0","0.6482561910697983","0","0","1","1","0"
"38 ? 39","40","0.2640700599753149","38.0","39.0","0.2640700599753149","0","0","1","1","0"
"39 ? 40","41","0.6643243433270262","39.0","40.0","0.6643243433270262","0","0","1","1","0"
"40 ? 41","42","0.8144918532437281","40.0","41.0","0.8144918532437281","0","0","1","1","0"
"41 ? 42","43","0.509645954063057","41.0","42.0","0.509645954063057","0","0","1","1","0"
"42 ? 43","44","1.2635270229797413","42.0","43.0","1.2635270229797413","0","0","1","1","0"
"43 ? 44","45","1.3944826240348023","43.0","44.0","1.3944826240348023","0","0","1","1","0"
"44 ? 45","46","0.9040107372944005","44.0","45.0","0.9040107372944005","0","0","1","1","0"
"45 ? 46","47","0.47332601900849597","45.0","46.0","0.47332601900849597","0","0","1","1","0"
"46 ? 47","48","0.9340200558625538","46.0","47.0","0.9340200558625538","0","0","1","1","0"
