Label,ID,Detection quality,Spot N links,Spot frame,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot gaussian-filtered intensity,Spot median intensity,Spot median intensity,Spot position,Spot position,Spot position,Spot radius,Spot track ID,Track N spots,TB,TB to PSM,TB to Somite,checked,other
,, , , ,Mean ch0,Mean ch1,Std ch0,Std ch1,Median ch0,Median ch1,X,Y,Z, , , ,Tag,Tag,Tag,Tag,Tag
,,,,,(Counts),(Counts),(Counts),(Counts),(Counts),(Counts),(micron),(micron),(micron),(micron),,,,,,,
0,0,914.0658109,1,10,170.8510799,3961.155806,13.41850229,169.3263349,170,3808,354.7013812,465.5962046,112.5770349,1.775378954,0,210,0,0,1,1,0
1,1,778.8856548,2,11,170.355335,3784.296534,12.62744815,176.1429995,168,3672,354.7199077,466.7299367,113.1165269,1.775378954,0,210,0,0,1,1,0
2,2,732.8038534,2,12,172.7417679,3857.889669,13.25275468,173.1679677,172,3824,355.4647973,467.7139175,113.1019847,1.775378954,0,210,0,0,1,1,0
3,3,726.7422401,2,13,166.1670204,3985.038881,10.92283293,204.5740346,165,3787,354.5181259,468.5808576,115.6909882,1.775378954,0,210,0,0,1,1,0
4,4,803.6782915,2,14,161.183519,3965.48277,11.82723696,212.9532408,161,3840,355.3239429,469.103762,115.3063324,1.775378954,0,210,0,0,1,1,0
5,5,894.3090907,2,15,157.880509,3985.480788,9.596522739,290.2107938,157,3868,355.2739054,469.9841584,115.0748321,1.775378954,0,210,0,0,1,1,0
6,6,843.910912,2,16,153.7733138,3921.27673,11.21566597,242.3047979,150,3646,354.7549706,470.0851177,114.8562725,1.775378954,0,210,0,0,1,1,0
7,7,831.585408,2,17,151.2976373,3778.139852,10.90551142,258.301117,149,3645,355.5762967,470.2847124,114.8154839,1.775378954,0,210,0,0,1,1,0
8,8,647.7180079,2,18,150.2006722,3735.846342,10.38953318,203.216902,149,3545,357.2976816,469.9097161,115.4291958,1.775378954,0,210,0,0,1,1,0
9,9,,2,19,152.8574386,4016.050169,10.53666007,225.1038336,153,3994,357.9449749,469.724747,115.4178973,1.775378954,0,210,0,0,1,1,0
10,10,,2,20,152.6319975,3985.888587,11.55671593,229.1670741,118,1762,358.4073273,468.5224477,115.4098269,1.862033156,0,210,0,0,1,1,0
