"Label","ID","Detection quality","Spot N links","Spot frame","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot gaussian-filtered intensity","Spot position","Spot position","Spot position","Spot radius","Spot track ID","Track N spots","TB","TB to PSM","TB to Somite","checked","other"
"",""," "," "," ","Mean ch0","Mean ch1","Std ch0","Std ch1","X","Y","Z"," "," "," ","Tag","Tag","Tag","Tag","Tag"
"","","","","","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(micron)","","","","","","",""
"0","0","914.065810905413","1","10","170.85107987821152","3961.1558056354575","13.41850229012217","169.3263349486134","354.70138124396925","465.59620464765123","112.57703491622777","1.7753789543543217","0","210","0","0","1","1","0"
"1","1","778.8856547807801","2","11","170.35533499508094","3784.296533898471","12.627448152889471","176.14299951978035","354.7199076799956","466.7299366810903","113.11652685254771","1.7753789543543217","0","210","0","0","1","1","0"
"2","2","732.8038534422859","2","12","172.74176791241314","3857.8896694433606","13.252754683069622","173.16796771607974","355.4647973369521","467.71391750342656","113.1019846763723","1.7753789543543217","0","210","0","0","1","1","0"
"3","3","726.7422401282912","2","13","166.16702042592584","3985.0388808400585","10.922832926597028","204.57403455219645","354.51812594572334","468.5808575835987","115.6909882213514","1.7753789543543217","0","210","0","0","1","1","0"
"4","4","803.6782915195306","2","14","161.1835189945341","3965.4827697316923","11.827236956827896","212.95324076534473","355.3239429058179","469.1037620138027","115.30633236045239","1.7753789543543217","0","210","0","0","1","1","0"
"5","5","894.3090907144675","2","15","157.8805090421244","3985.4807879412856","9.596522739283385","290.2107937730508","355.2739054088505","469.98415835387027","115.0748320886886","1.7753789543543217","0","210","0","0","1","1","0"
"6","6","843.9109120205388","2","16","153.77331382655763","3921.276729751792","11.215665970147064","242.30479792849874","354.7549705610811","470.08511770129167","114.85627254303651","1.7753789543543217","0","210","0","0","1","1","0"
"7","7","831.5854080270038","2","17","151.29763731517556","3778.139851892165","10.905511420067098","258.3011169865732","355.57629665114325","470.28471238626753","114.81548388249894","1.7753789543543217","0","210","0","0","1","1","0"
"8","8","647.7180079212111","2","18","150.20067219353308","3735.846341684378","10.389533180221921","203.21690196030974","357.29768157295126","469.90971611461697","115.42919582833981","1.7753789543543217","0","210","0","0","1","1","0"
"9","9","","2","19","152.85743855301754","4016.0501685604086","10.53666006788025","225.10383360123038","357.94497489708107","469.7247469931725","115.41789728133952","1.7753789543543217","0","210","0","0","1","1","0"
"10","10","","2","20","152.63199749608106","3985.888586902492","11.556715933175758","229.167074142476","358.4073272714595","468.5224477037833","115.40982689062503","1.7753789543543217","0","210","0","0","1","1","0"
"11","11","","2","21","152.28135003657763","3782.202701256061","11.526850356720606","352.55074565462246","358.86967964583795","467.9675403394498","115.40175649991053","1.7753789543543217","0","210","0","0","1","1","0"
"12","12","","2","22","156.12651340656637","3712.421842861439","11.271511100479216","279.75975760250316","358.05514712669327","467.31289471493716","116.79289090032309","1.7753789543543217","0","210","0","0","1","1","0"
"13","13","","2","23","157.40689410830444","3479.6248989933897","11.966553282247009","174.68736294571497","357.5003242774391","467.12792559349265","116.80257536918047","1.7753789543543217","0","210","0","0","1","1","0"
"14","14","","2","24","164.50334300685483","3240.672025645389","11.474308809214556","160.3945602003316","355.55844430504965","466.38804910771466","116.83647101018134","1.7753789543543217","0","210","0","0","1","1","0"
"15","15","","2","25","163.7085826605723","3221.1887371698053","12.023942312137795","223.6126058685359","355.743385254801","465.2782343790477","116.83324285389554","1.7753789543543217","0","210","0","0","1","1","0"
"16","16","","2","26","167.24717970804215","3263.599968987109","12.49897924943994","135.68226907159487","355.18856240554686","465.00078069688095","116.84292732275293","1.7753789543543217","0","210","0","0","1","1","0"
"17","17","","2","27","165.21766661807442","3135.0090540247306","13.183459415529642","176.6423840745484","355.0036214557955","465.8331417433812","116.84615547903873","1.7753789543543217","0","210","0","0","1","1","0"
"18","18","","2","28","168.38232495893305","3345.4394204767345","13.62050978944905","158.08578172320924","355.0036214557955","467.40537927565936","116.84615547903873","1.7753789543543217","0","210","0","0","1","1","0"
"19","19","","2","29","163.8438712512395","3425.4685033073247","11.973438490090793","156.20542868265778","355.2810328804226","468.79264768649307","116.84131324461003","1.7753789543543217","0","210","0","0","1","1","0"
"20","20","","2","30","165.78488167513405","3469.5994594228537","11.949484367226622","235.03701117533572","354.9111509809198","470.5498543402158","116.84776955718162","1.7753789543543217","0","210","0","0","1","1","0"
"21","21","","2","31","164.55332518982237","3660.7782399028565","14.830655615817397","253.0300270186983","354.3120699888175","473.18355248948575","114.82876899869474","1.7753789543543217","0","210","0","0","1","1","0"
"22","22","836.4788531890031","2","32","163.52411545577453","3623.0163021367944","12.265053081221948","263.5680396394289","354.29499835122357","474.7968463670709","114.84824049787304","1.7753789543543217","0","210","0","0","1","1","0"
"23","23","761.6833360802631","2","33","164.02265502303155","3514.511064815491","12.144901132193597","230.88541096398347","353.85049192340233","475.59755519518455","114.39561662430323","1.7753789543543217","0","210","0","0","1","1","0"
"24","24","655.3222890937847","2","34","161.95541150406657","3430.912549755296","12.504789592285304","186.46430321025073","354.46410336405387","477.518429788043","113.24816784175704","1.7753789543543217","0","210","0","0","1","1","0"
"25","25","556.8283724238515","2","35","157.1872225873465","3334.12125297848","11.008146562291502","170.41039838818364","355.25335770975767","479.22186692766354","114.36667241869114","1.7753789543543217","0","210","0","0","1","1","0"
"26","26","567.1161526251963","2","36","155.23766263956963","3173.9794629872395","11.826912124720206","186.5072926164266","355.13178079926934","479.47457775885766","111.91425275696051","1.7753789543543217","0","210","0","0","1","1","0"
"27","27","606.0767486900388","2","37","151.49850483258157","3364.3119580172715","11.098449766397001","161.64563477013013","355.004789713473","481.0721422430033","114.34747534956269","1.7753789543543217","0","210","0","0","1","1","0"
"28","28","570.2852360199333","2","38","147.9481361284315","3304.714447029892","10.681775842599858","170.39676912043296","354.81442969542104","482.85757043252374","115.06412783917158","1.7753789543543217","0","210","0","0","1","1","0"
"29","29","713.715180354181","2","39","144.38999167365859","3332.1866811614445","10.378784335445781","202.22555557518962","355.3644841074906","485.1852056591486","115.12750144338357","1.7753789543543217","0","210","0","0","1","1","0"
"30","30","795.4624241818902","2","40","141.91504702682084","3417.8274824342957","10.882427062610246","196.52791848546065","354.68563300675874","486.1750269838081","115.53980962109515","1.7753789543543217","0","210","0","0","1","1","0"
"31","31","709.7328304112224","2","41","147.1589092429106","3287.2984831990434","9.11991484051469","184.43313135945675","354.6521425598131","486.4029916437912","115.42715680182035","1.7753789543543217","0","210","0","0","1","1","0"
"32","32","667.6392715958666","2","42","146.80982883285557","3226.6932504013503","10.079256978118","154.58316559437125","355.1195023077883","487.0814599367464","115.43428141715536","1.7753789543543217","0","210","0","0","1","1","0"
"33","33","757.1209653673592","2","43","148.55375562751516","3234.686516833518","9.91874040969278","191.78370637605246","356.54609771381814","487.4551221246999","115.5784662056348","1.7753789543543217","0","210","0","0","1","1","0"
"34","34","863.6352355542391","2","44","153.93047552928098","3387.825975859157","11.580927877168868","218.13975527888343","356.608131443628","488.04654226831184","116.14874243713813","1.7753789543543217","0","210","0","0","1","1","0"
"35","35","745.3404723078065","2","45","156.77957826865784","3232.3189583311305","12.413548615890837","153.02342962659677","357.16515050368645","488.33306529145506","116.14719034072087","1.7753789543543217","0","210","0","0","1","1","0"
"36","36","668.4440100488498","2","46","163.3758859667964","3110.9698022424814","12.335774712769682","159.29825543808906","357.1585686963284","488.6586220032442","116.04414189673335","1.7753789543543217","0","210","0","0","1","1","0"
"37","37","539.4483750212711","2","47","162.07910516205985","2941.1155275107158","12.318792746548255","163.41651789392085","357.5145969027028","490.7695168990928","116.23123037314043","1.7753789543543217","0","210","0","0","1","1","0"
"38","38","529.118563238551","2","48","165.72466841630916","3046.8458638999023","15.585581237911576","142.4090708209444","357.07552329420577","491.2155793049277","116.39998696021931","1.7753789543543217","0","210","0","0","1","1","0"
"39","39","672.933729423187","2","49","172.66365699292106","3199.4279180007243","15.520794815074789","175.74424032052718","356.84737097008315","491.3327608520515","116.3371538591778","1.7753789543543217","0","210","0","0","1","1","0"
"40","40","746.3759084647038","2","50","183.875425369437","3279.8061104291237","14.635356433663045","216.1778636049964","356.2615880980541","491.0218147923323","116.29845233570107","1.7753789543543217","0","210","0","0","1","1","0"
