"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","TB","TB to PSM","TB to Somite","checked","other"
"",""," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","Tag"
"","","(micron)","","","(micron/frame)","","","","",""
"44 ? 45","7","1.5270266315517966","44.0","45.0","1.5270266315517966","0","0","0","1","0"
"10 ? 11","8","1.582903574807958","10.0","11.0","1.582903574807958","0","0","0","1","0"
"11 ? 12","9","1.1789261472830252","11.0","12.0","1.1789261472830252","0","0","0","1","0"
"12 ? 13","10","0.4700152873674328","12.0","13.0","0.4700152873674328","0","0","0","1","0"
"13 ? 14","11","0.8210429927151683","13.0","14.0","0.8210429927151683","0","0","0","1","0"
"14 ? 15","12","0.9661186710815287","14.0","15.0","0.9661186710815287","0","0","0","1","0"
"15 ? 16","13","1.0234577228843058","15.0","16.0","1.0234577228843058","0","0","0","1","0"
"16 ? 17","14","2.443413207623899","16.0","17.0","2.443413207623899","0","0","0","1","0"
"17 ? 18","15","2.871946897599255","17.0","18.0","2.871946897599255","0","0","0","1","0"
"18 ? 19","16","0.619455456246795","18.0","19.0","0.619455456246795","0","0","0","1","0"
"19 ? 20","17","0.4554327091684514","19.0","20.0","0.4554327091684514","0","0","0","1","0"
"20 ? 21","18","1.3278031092501659","20.0","21.0","1.3278031092501659","0","0","0","1","0"
"21 ? 22","19","0.9221809505623981","21.0","22.0","0.9221809505623981","0","0","0","1","0"
"22 ? 23","20","0.0","22.0","23.0","0.0","0","0","0","1","0"
"23 ? 24","21","0.4554327091684514","23.0","24.0","0.4554327091684514","0","0","0","1","0"
"24 ? 25","22","0.5091892484388013","24.0","25.0","0.5091892484388013","0","0","0","1","0"
"25 ? 26","23","0.5091892484387586","25.0","26.0","0.5091892484387586","0","0","0","1","0"
"26 ? 27","24","0.0","26.0","27.0","0.0","0","0","0","1","0"
"27 ? 28","25","0.5091892484387713","27.0","28.0","0.5091892484387713","0","0","0","1","0"
"28 ? 29","26","2.31297067565226","28.0","29.0","2.31297067565226","0","0","0","1","0"
"29 ? 30","27","1.6578000849595904","29.0","30.0","1.6578000849595904","0","0","0","1","0"
"30 ? 31","28","1.6294055950041368","30.0","31.0","1.6294055950041368","0","0","0","1","0"
"31 ? 32","29","1.8583663687403942","31.0","32.0","1.8583663687403942","0","0","0","1","0"
"32 ? 33","30","2.138594843442951","32.0","33.0","2.138594843442951","0","0","0","1","0"
"33 ? 34","31","2.1385948434428372","33.0","34.0","2.1385948434428372","0","0","0","1","0"
"34 ? 35","32","1.482781473229728","34.0","35.0","1.482781473229728","0","0","0","1","0"
"39 ? 40","35","0.4073513987510058","39.0","40.0","0.4073513987510058","0","0","0","1","0"
"50 ? 37","36","0.6831490637526644","50.0","37.0","0.6831490637526644","0","0","0","1","0"
"40 ? 41","37","0.9661186710815467","40.0","41.0","0.9661186710815467","0","0","0","1","0"
"41 ? 42","38","1.161130135589208","41.0","42.0","1.161130135589208","0","0","0","1","0"
"42 ? 43","39","0.6520804036236479","42.0","43.0","0.6520804036236479","0","0","0","1","0"
"43 ? 44","40","0.4198882109483848","43.0","44.0","0.4198882109483848","0","0","0","1","0"
"37 ? 39","41","1.1611301355892023","37.0","39.0","1.1611301355892023","0","0","0","1","0"
"45 ? 46","42","0.619455456246795","45.0","46.0","0.619455456246795","0","0","0","1","0"
"46 ? 47","43","1.3238920459408743","46.0","47.0","1.3238920459408743","0","0","0","1","0"
"47 ? 48","44","0.9764519474547246","47.0","48.0","0.9764519474547246","0","0","0","1","0"
"2133 ? 2134","46","3.755967159697264","2133.0","2134.0","1.877983579848632","0","0","0","0","0"
"49 ? 10","47","0.8849933402879618","49.0","10.0","0.8849933402879618","0","0","0","1","0"
"266 ? 50","48","1.2389109124937112","266.0","50.0","1.2389109124937112","0","0","0","1","0"
"267 ? 261","258","0.0","267.0","261.0","0.0","0","0","0","1","0"
"261 ? 262","259","0.3055135490633112","261.0","262.0","0.3055135490633112","0","0","0","1","0"
"262 ? 263","260","2.4159934739179727","262.0","263.0","2.4159934739179727","0","0","0","1","0"
"263 ? 264","261","1.4184956142363363","263.0","264.0","1.4184956142363363","0","0","0","1","0"
"264 ? 265","262","0.5091892484388141","264.0","265.0","0.5091892484388141","0","0","0","1","0"
"265 ? 266","263","0.0","265.0","266.0","0.0","0","0","0","1","0"
"342 ? 267","264","2.902798259021458","342.0","267.0","2.902798259021458","0","0","0","1","0"
"268 ? 269","265","1.4789910968710096","268.0","269.0","1.4789910968710096","1","0","0","1","0"
"269 ? 270","266","1.2983997363228796","269.0","270.0","1.2983997363228796","1","0","0","1","0"
"270 ? 271","267","2.1676557687013975","270.0","271.0","2.1676557687013975","1","0","0","1","0"
