"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Checked","TBto SOM25","TBtoPSM","TBtoPSMd","TBtoSom","TBtoTB"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","TB","Tag"
"","","","(micron)","","","(micron/frame)","","","","","",""
"6597 ? 6596","846","","0.7962788944120558","6597.0","6596.0","0.3981394472060279","1","0","1","1","0","0"
"7731 ? 7730","3274","","3.293228999852094","7731.0","7730.0","1.646614499926047","0","0","0","0","0","0"
"7212 ? 7211","3275","","0.8227499352388055","7212.0","7211.0","0.41137496761940273","0","0","0","0","0","0"
"6371 ? 6370","3276","","1.4110044981953638","6371.0","6370.0","0.7055022490976819","0","0","0","0","0","0"
"6890 ? 6889","3569","","0.9003441084257277","6890.0","6889.0","0.3001147028085759","1","0","1","1","0","0"
"7484 ? 7483","4652","","6.395996289805765","7484.0","7483.0","3.1979981449028827","0","0","0","0","0","0"
"6646 ? 6645","4925","","1.6109222908725853","6646.0","6645.0","0.8054611454362927","0","0","0","0","0","0"
"6917 ? 6916","5253","","0.6215086465880874","6917.0","6916.0","0.3107543232940437","1","0","1","1","0","0"
"6973 ? 6972","5312","","1.0447618225254591","6973.0","6972.0","0.5223809112627296","1","0","1","1","0","0"
"6109 ? 6108","5423","","1.4250280195162779","6109.0","6108.0","0.7125140097581389","0","0","0","0","0","0"
"5501 ? 5502","5485","","0.8789851286951127","5501.0","5502.0","0.8789851286951127","1","0","1","1","0","0"
"5502 ? 5503","5486","","0.92293438512987","5502.0","5503.0","0.92293438512987","1","0","1","1","0","0"
"5503 ? 5504","5487","","2.0638650748988465","5503.0","5504.0","2.0638650748988465","1","0","1","1","0","0"
"5504 ? 5505","5488","","1.7563785443963813","5504.0","5505.0","1.7563785443963813","1","0","1","1","0","0"
"5505 ? 5506","5489","","0.0","5505.0","5506.0","0.0","1","0","1","1","0","0"
"5506 ? 5507","5490","","1.3758293492815596","5506.0","5507.0","1.3758293492815596","1","0","1","1","0","0"
"5507 ? 5508","5491","","0.4913676247434182","5507.0","5508.0","0.4913676247434182","1","0","1","1","0","0"
"5508 ? 5509","5492","","1.9630384449912983","5508.0","5509.0","1.9630384449912983","1","0","1","1","0","0"
"5509 ? 5510","5493","","1.730727167398316","5509.0","5510.0","1.730727167398316","1","0","1","1","0","0"
"5510 ? 5511","5494","","5.351130420963053","5510.0","5511.0","5.351130420963053","1","0","1","1","0","0"
"5511 ? 5512","5495","","0.79807613479828","5511.0","5512.0","0.79807613479828","1","0","1","1","0","0"
"5512 ? 5513","5496","","0.4456849204022001","5512.0","5513.0","0.4456849204022001","1","0","1","1","0","0"
"5513 ? 5514","5497","","1.2810946403029353","5513.0","5514.0","1.2810946403029353","1","0","1","1","0","0"
"5514 ? 5515","5498","","1.2762473881838408","5514.0","5515.0","1.2762473881838408","1","0","1","1","0","0"
"5515 ? 5516","5499","","1.576994230930896","5515.0","5516.0","1.576994230930896","1","0","1","1","0","0"
"5516 ? 5517","5500","","2.2497157664956866","5516.0","5517.0","2.2497157664956866","1","0","1","1","0","0"
"5517 ? 5518","5501","","1.3977318602106426","5517.0","5518.0","1.3977318602106426","1","0","1","1","0","0"
"5518 ? 5519","5502","","1.1892356972905984","5518.0","5519.0","1.1892356972905984","1","0","1","1","0","0"
"5519 ? 5520","5503","","1.2510971906284436","5519.0","5520.0","1.2510971906284436","1","0","1","1","0","0"
"5520 ? 5521","5504","","1.6387635133427025","5520.0","5521.0","1.6387635133427025","1","0","1","1","0","0"
"5521 ? 5522","5505","","1.2155763706955742","5521.0","5522.0","1.2155763706955742","1","0","1","1","0","0"
"5522 ? 5523","5506","","1.2994987896761336","5522.0","5523.0","1.2994987896761336","1","0","1","1","0","0"
"5523 ? 5524","5507","","1.0639378667210198","5523.0","5524.0","1.0639378667210198","1","0","1","1","0","0"
"5524 ? 5525","5508","","1.2324528657691953","5524.0","5525.0","1.2324528657691953","1","0","1","1","0","0"
"5525 ? 5526","5509","","1.5371240245037576","5525.0","5526.0","1.5371240245037576","1","0","1","1","0","0"
"5526 ? 5527","5510","","1.2559616553630326","5526.0","5527.0","1.2559616553630326","1","0","1","1","0","0"
"5527 ? 5528","5511","","3.5444517570960064","5527.0","5528.0","3.5444517570960064","1","0","1","1","0","0"
"5528 ? 5529","5512","","3.0483274425006006","5528.0","5529.0","3.0483274425006006","1","0","1","1","0","0"
"5529 ? 5530","5513","","4.364464881270224","5529.0","5530.0","4.364464881270224","1","0","1","1","0","0"
"5530 ? 5531","5514","","4.059679347885376","5530.0","5531.0","4.059679347885376","1","0","1","1","0","0"
"5531 ? 5532","5515","","2.6432513318066198","5531.0","5532.0","2.6432513318066198","1","0","1","1","0","0"
"5532 ? 5533","5516","","2.2398969787062972","5532.0","5533.0","2.2398969787062972","1","0","1","1","0","0"
"5533 ? 5534","5517","","0.9475391380824753","5533.0","5534.0","0.9475391380824753","1","0","1","1","0","0"
"5534 ? 5535","5518","","0.4456849204022001","5534.0","5535.0","0.4456849204022001","1","0","1","1","0","0"
"5535 ? 5536","5519","","0.8218023875186138","5535.0","5536.0","0.8218023875186138","1","0","1","1","0","0"
"5536 ? 5537","5520","","0.917721419975248","5536.0","5537.0","0.917721419975248","1","0","1","1","0","0"
"5537 ? 5538","5521","","0.5637517869047323","5537.0","5538.0","0.5637517869047323","1","0","1","1","0","0"
"5538 ? 5539","5522","","0.5979490671395341","5538.0","5539.0","0.5979490671395341","1","0","1","1","0","0"
"5539 ? 5540","5523","","0.1993163557131694","5539.0","5540.0","0.1993163557131694","1","0","1","1","0","0"
"5540 ? 5541","5524","","1.9546051112721794","5540.0","5541.0","1.9546051112721794","1","0","1","1","0","0"
"5541 ? 5542","5525","","1.7900467426569564","5541.0","5542.0","1.7900467426569564","1","0","1","1","0","0"
"5542 ? 5543","5526","","0.43949256434753087","5542.0","5543.0","0.43949256434753087","1","0","1","1","0","0"
"5543 ? 5544","5527","","0.5559190072185807","5543.0","5544.0","0.5559190072185807","1","0","1","1","0","0"
"5544 ? 5545","5528","","1.5015725222090561","5544.0","5545.0","1.5015725222090561","1","0","1","1","0","0"
"5545 ? 5546","5529","","0.25211746359117226","5545.0","5546.0","0.25211746359117226","1","0","1","1","0","0"
"5546 ? 5547","5530","","0.0","5546.0","5547.0","0.0","1","0","1","1","0","0"
"5547 ? 5548","5531","","1.0854665614897823","5547.0","5548.0","1.0854665614897823","1","0","1","1","0","0"
"5548 ? 5549","5532","","0.6302936589779797","5548.0","5549.0","0.6302936589779797","1","0","1","1","0","0"
"5549 ? 5550","5533","","1.7849667151836484","5549.0","5550.0","1.7849667151836484","1","0","1","1","0","0"
"5550 ? 5551","5534","","1.7863509653670584","5550.0","5551.0","1.7863509653670584","1","0","1","1","0","0"
"5551 ? 5552","5535","","1.1202468665789165","5551.0","5552.0","1.1202468665789165","1","0","1","1","0","0"
"5552 ? 5553","5536","","1.3431044829675238","5552.0","5553.0","1.3431044829675238","1","0","1","1","0","0"
"5553 ? 5554","5537","","1.1992154725082336","5553.0","5554.0","1.1992154725082336","1","0","1","1","0","0"
"5554 ? 5555","5538","","0.4456849204022368","5554.0","5555.0","0.4456849204022368","1","0","1","1","0","0"
"5555 ? 5556","5539","","1.0199602082072101","5555.0","5556.0","1.0199602082072101","1","0","1","1","0","0"
"5556 ? 5557","5540","","1.247917777126145","5556.0","5557.0","1.247917777126145","1","0","1","1","0","0"
"5557 ? 5558","5541","","1.0125058896149652","5557.0","5558.0","1.0125058896149652","1","0","1","1","0","0"
"5558 ? 5559","5542","","1.0656844706704105","5558.0","5559.0","1.0656844706704105","1","0","1","1","0","0"
"5559 ? 5560","5543","","0.7923064879701708","5559.0","5560.0","0.7923064879701708","1","0","1","1","0","0"
"5560 ? 5561","5544","","0.0","5560.0","5561.0","0.0","1","0","1","1","0","0"
"5561 ? 5562","5546","","1.260587317955898","5561.0","5562.0","1.260587317955898","1","0","1","1","0","0"
"5563 ? 5564","5547","","1.7648222451382714","5563.0","5564.0","1.7648222451382714","1","0","1","1","0","0"
"5564 ? 5565","5548","","1.158780793045733","5564.0","5565.0","1.158780793045733","1","0","1","1","0","0"
"5565 ? 5566","5549","","1.3923642020510785","5565.0","5566.0","1.3923642020510785","1","0","1","1","0","0"
"5566 ? 5567","5550","","1.955776605088039","5566.0","5567.0","1.955776605088039","1","0","1","1","0","0"
"5567 ? 5568","5551","","2.3784713945812195","5567.0","5568.0","2.3784713945812195","1","0","1","1","0","0"
"5568 ? 5569","5552","","1.861234870159334","5568.0","5569.0","1.861234870159334","1","0","1","1","0","0"
"5569 ? 5570","5553","","2.5567423052304754","5569.0","5570.0","2.5567423052304754","1","0","1","1","0","0"
"5570 ? 5571","5554","","1.2123940602077778","5570.0","5571.0","1.2123940602077778","1","0","1","1","0","0"
"5571 ? 5572","5555","","1.031872011961176","5571.0","5572.0","1.031872011961176","1","0","1","1","0","0"
"5572 ? 5573","5556","","1.9480620363371355","5572.0","5573.0","1.9480620363371355","1","0","1","1","0","0"
"5573 ? 5574","5557","","1.7798092345853498","5573.0","5574.0","1.7798092345853498","1","0","1","1","0","0"
"5574 ? 5575","5558","","0.82099256574338","5574.0","5575.0","0.82099256574338","1","0","1","1","0","0"
"5575 ? 5576","5559","","1.8954937607750977","5575.0","5576.0","1.8954937607750977","1","0","1","1","0","0"
"5576 ? 5577","5560","","0.37204674488423084","5576.0","5577.0","0.37204674488423084","1","0","1","1","0","0"
"5577 ? 5578","5561","","0.7296436969743642","5577.0","5578.0","0.7296436969743642","1","0","1","1","0","0"
"5578 ? 5579","5562","","0.0","5578.0","5579.0","0.0","1","0","1","1","0","0"
"5579 ? 5580","5563","","0.6922007888473972","5579.0","5580.0","0.6922007888473972","1","0","1","1","0","0"
"5580 ? 5581","5564","","1.2077752246276117","5580.0","5581.0","1.2077752246276117","1","0","1","1","0","0"
"5581 ? 5582","5565","","0.7512141638750296","5581.0","5582.0","0.7512141638750296","1","0","1","1","0","0"
"5582 ? 5583","5566","","1.2272181506119078","5582.0","5583.0","1.2272181506119078","1","0","1","1","0","0"
"5583 ? 5584","5567","","0.0","5583.0","5584.0","0.0","1","0","1","1","0","0"
"5584 ? 5585","5568","","0.5261535524520322","5584.0","5585.0","0.5261535524520322","1","0","1","1","0","0"
"5585 ? 5586","5569","","1.307210053555588","5585.0","5586.0","1.307210053555588","1","0","1","1","0","0"
"5586 ? 5587","5570","","1.3844015776948098","5586.0","5587.0","1.3844015776948098","1","0","1","1","0","0"
"5587 ? 5588","5571","","1.79965604868298","5587.0","5588.0","1.79965604868298","1","0","1","1","0","0"
"5588 ? 5589","5572","","1.6912667294486123","5588.0","5589.0","1.6912667294486123","1","0","1","1","0","0"
"5589 ? 5590","5573","","1.6454636923756365","5589.0","5590.0","1.6454636923756365","1","0","1","1","0","0"
"5590 ? 5591","5574","","2.0886715012113664","5590.0","5591.0","2.0886715012113664","1","0","1","1","0","0"
"5591 ? 5592","5575","","0.5556800844280403","5591.0","5592.0","0.5556800844280403","1","0","1","1","0","0"
"5592 ? 5593","5576","","0.46146719256491675","5592.0","5593.0","0.46146719256491675","1","0","1","1","0","0"
"5593 ? 5594","5577","","0.8768177161149249","5593.0","5594.0","0.8768177161149249","1","0","1","1","0","0"
"5594 ? 5595","5578","","2.2839599017986205","5594.0","5595.0","2.2839599017986205","1","0","1","1","0","0"
"5595 ? 5596","5579","","1.0163632809104486","5595.0","5596.0","1.0163632809104486","1","0","1","1","0","0"
"5596 ? 5597","5580","","0.5503707791114447","5596.0","5597.0","0.5503707791114447","1","0","1","1","0","0"
"5597 ? 5598","5581","","0.652613162315565","5597.0","5598.0","0.652613162315565","1","0","1","1","0","0"
"5598 ? 5599","5582","","1.748376367642076","5598.0","5599.0","1.748376367642076","1","0","1","1","0","0"
"5599 ? 5600","5583","","4.022237786313587","5599.0","5600.0","4.022237786313587","1","0","1","1","0","0"
"5600 ? 5601","5584","","1.8931079844202527","5600.0","5601.0","1.8931079844202527","1","0","1","1","0","0"
"5601 ? 5602","5585","","2.7395291472639696","5601.0","5602.0","2.7395291472639696","1","0","1","1","0","0"
"5602 ? 5603","5586","","0.580779017663076","5602.0","5603.0","0.580779017663076","1","0","1","1","0","0"
"5603 ? 5604","5587","","1.1340072836191686","5603.0","5604.0","1.1340072836191686","1","0","1","1","0","0"
