"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","Checked","TBto SOM25","TBtoPSM","TBtoPSMd","TBtoSom","TBtoTB"
"",""," "," ","Source spot id","Target spot id"," ","Tag","Tag","Tag","Tag","TB","Tag"
"","","","(micron)","","","(micron/frame)","","","","","",""
"5737 ? 5738","5545","","4.74047588854434","5737.0","5738.0","2.37023794427217","0","0","0","0","0","0"
"5676 ? 5677","5659","","0.9989059382938136","5676.0","5677.0","0.9989059382938136","1","0","0","0","0","1"
"5677 ? 5678","5660","","1.088869464598177","5677.0","5678.0","1.088869464598177","1","0","0","0","0","1"
"5678 ? 5679","5661","","3.6066964676699778","5678.0","5679.0","3.6066964676699778","1","0","0","0","0","1"
"5679 ? 5680","5662","","1.5227445898419507","5679.0","5680.0","1.5227445898419507","1","0","0","0","0","1"
"5680 ? 5681","5663","","1.0278657306470265","5680.0","5681.0","1.0278657306470265","1","0","0","0","0","1"
"5681 ? 5682","5664","","2.153284155181067","5681.0","5682.0","2.153284155181067","1","0","0","0","0","1"
"5682 ? 5683","5665","","0.24227027609657378","5682.0","5683.0","0.24227027609657378","1","0","0","0","0","1"
"5683 ? 5684","5666","","0.7958732687173758","5683.0","5684.0","0.7958732687173758","1","0","0","0","0","1"
"5684 ? 5685","5667","","0.6937564924203011","5684.0","5685.0","0.6937564924203011","1","0","0","0","0","1"
"5685 ? 5686","5668","","1.3790265872815346","5685.0","5686.0","1.3790265872815346","1","0","0","0","0","1"
"5686 ? 5687","5669","","2.193850657577544","5686.0","5687.0","2.193850657577544","1","0","0","0","0","1"
"5687 ? 5688","5670","","1.7131095510783578","5687.0","5688.0","1.7131095510783578","1","0","0","0","0","1"
"5688 ? 5689","5671","","1.650285654651402","5688.0","5689.0","1.650285654651402","1","0","0","0","0","1"
"5689 ? 5690","5672","","1.3875129848406123","5689.0","5690.0","1.3875129848406123","1","0","0","0","0","1"
"5690 ? 5691","5673","","0.9320323614890387","5690.0","5691.0","0.9320323614890387","1","0","0","0","0","1"
"5691 ? 5692","5674","","2.577869850878628","5691.0","5692.0","2.577869850878628","1","0","0","0","0","1"
"5692 ? 5693","5675","","1.2649954435128732","5692.0","5693.0","1.2649954435128732","1","0","0","0","0","1"
"5693 ? 5694","5676","","1.3305130066309765","5693.0","5694.0","1.3305130066309765","1","0","0","0","0","1"
"5694 ? 5695","5677","","1.3401729486919047","5694.0","5695.0","1.3401729486919047","1","0","0","0","0","1"
"5695 ? 5696","5678","","0.0","5695.0","5696.0","0.0","1","0","0","0","0","1"
"5696 ? 5697","5679","","1.5280381495147595","5696.0","5697.0","1.5280381495147595","1","0","0","0","0","1"
"5697 ? 5698","5680","","0.9257134251629121","5697.0","5698.0","0.9257134251629121","1","0","0","0","0","1"
"5698 ? 5699","5681","","0.0","5698.0","5699.0","0.0","1","0","0","0","0","1"
"5699 ? 5700","5682","","2.2098449202985444","5699.0","5700.0","2.2098449202985444","1","0","0","0","0","1"
"5700 ? 5701","5683","","0.5417328062796215","5700.0","5701.0","0.5417328062796215","1","0","0","0","0","1"
"5701 ? 5702","5684","","0.9690811043863476","5701.0","5702.0","0.9690811043863476","1","0","0","0","0","1"
"5702 ? 5703","5685","","0.8251428273257012","5702.0","5703.0","0.8251428273257012","1","0","0","0","0","1"
"5703 ? 5704","5686","","1.211351380482949","5703.0","5704.0","1.211351380482949","1","0","0","0","0","1"
"5704 ? 5705","5687","","1.2635271733104105","5704.0","5705.0","1.2635271733104105","1","0","0","0","0","1"
"5705 ? 5706","5688","","1.1719472463853056","5705.0","5706.0","1.1719472463853056","1","0","0","0","0","1"
"5706 ? 5707","5689","","0.5834640886494158","5706.0","5707.0","0.5834640886494158","1","0","0","0","0","1"
"5707 ? 5708","5690","","1.9308734571924264","5707.0","5708.0","1.9308734571924264","1","0","0","0","0","1"
"5708 ? 5709","5691","","0.6937564924202841","5708.0","5709.0","0.6937564924202841","1","0","0","0","0","1"
"5709 ? 5710","5692","","2.5723685052169545","5709.0","5710.0","2.5723685052169545","1","0","0","0","0","1"
"5710 ? 5711","5693","","0.0","5710.0","5711.0","0.0","1","0","0","0","0","1"
"5711 ? 5712","5694","","1.4592873939487179","5711.0","5712.0","1.4592873939487179","1","0","0","0","0","1"
"5712 ? 5713","5695","","2.3958637374725567","5712.0","5713.0","2.3958637374725567","1","0","0","0","0","1"
"5713 ? 5714","5696","","1.3344115991053835","5713.0","5714.0","1.3344115991053835","1","0","0","0","0","1"
"5714 ? 5715","5697","","2.221200489190302","5714.0","5715.0","2.221200489190302","1","0","0","0","0","1"
"5715 ? 5716","5698","","0.6852438204313972","5715.0","5716.0","0.6852438204313972","1","0","0","0","0","1"
"5716 ? 5717","5699","","2.746937372554031","5716.0","5717.0","2.746937372554031","1","0","0","0","0","1"
"5717 ? 5718","5700","","0.8409166259833164","5717.0","5718.0","0.8409166259833164","1","0","0","0","0","1"
"5718 ? 5719","5701","","0.0","5718.0","5719.0","0.0","1","0","0","0","0","1"
"5719 ? 5720","5702","","1.3072263311042542","5719.0","5720.0","1.3072263311042542","1","0","0","0","0","1"
"5720 ? 5721","5703","0.02380775834037255","0.1542976290821494","5720.0","5721.0","0.1542976290821494","1","0","0","0","0","1"
"5721 ? 5722","5704","","0.37817619538679237","5721.0","5722.0","0.37817619538679237","1","0","0","0","0","1"
"5722 ? 5723","5705","","1.172413977251793","5722.0","5723.0","1.172413977251793","1","0","0","0","0","1"
"5723 ? 5724","5706","","0.6427759332844956","5723.0","5724.0","0.6427759332844956","1","0","0","0","0","1"
"5724 ? 5725","5707","","1.1536679814123305","5724.0","5725.0","1.1536679814123305","1","0","0","0","0","1"
"5725 ? 5726","5708","","0.7350424010252731","5725.0","5726.0","0.7350424010252731","1","0","0","0","0","1"
"5726 ? 5727","5709","","1.12750357380941","5726.0","5727.0","1.12750357380941","1","0","0","0","0","1"
"5727 ? 5728","5710","","2.4302169342404243","5727.0","5728.0","2.4302169342404243","1","0","0","0","0","1"
"5728 ? 5729","5711","","1.4093794672617939","5728.0","5729.0","1.4093794672617939","1","0","0","0","0","1"
"5729 ? 5730","5712","","0.48001734968408966","5729.0","5730.0","0.48001734968408966","1","0","0","0","0","1"
"5730 ? 5731","5713","","1.7693186148336535","5730.0","5731.0","1.7693186148336535","1","0","0","0","0","1"
"5731 ? 5732","5714","","3.15267306280976","5731.0","5732.0","3.15267306280976","1","0","0","0","0","1"
"5732 ? 5733","5715","","0.17827396816088026","5732.0","5733.0","0.17827396816088026","1","0","0","0","0","1"
"5733 ? 5734","5716","","0.6788470460976215","5733.0","5734.0","0.6788470460976215","1","0","0","0","0","1"
"5734 ? 5735","5717","","2.6087756598297243","5734.0","5735.0","2.6087756598297243","1","0","0","0","0","1"
"5735 ? 5736","5718","","0.5348219044826408","5735.0","5736.0","0.5348219044826408","1","0","0","0","0","1"
"5736 ? 5737","5719","","1.3606170107391815","5736.0","5737.0","1.3606170107391815","1","0","0","0","0","1"
"5738 ? 5739","5720","","0.7130958726435523","5738.0","5739.0","0.7130958726435523","1","0","0","0","0","1"
"5739 ? 5740","5721","","1.360617010739208","5739.0","5740.0","1.360617010739208","1","0","0","0","0","1"
"5740 ? 5741","5722","","1.844419002880237","5740.0","5741.0","1.844419002880237","1","0","0","0","0","1"
"5741 ? 5742","5723","","1.7128987666313313","5741.0","5742.0","1.7128987666313313","1","0","0","0","0","1"
"5742 ? 5743","5724","","0.9789197434733585","5742.0","5743.0","0.9789197434733585","1","0","0","0","0","1"
"5743 ? 5744","5725","","1.511928701641397","5743.0","5744.0","1.511928701641397","1","0","0","0","0","1"
"5744 ? 5745","5726","","1.8612348701593067","5744.0","5745.0","1.8612348701593067","1","0","0","0","0","1"
"5745 ? 5746","5727","","1.3576940921952618","5745.0","5746.0","1.3576940921952618","1","0","0","0","0","1"
"5746 ? 5747","5728","","1.1724139772518614","5746.0","5747.0","1.1724139772518614","1","0","0","0","0","1"
"5747 ? 5748","5729","","1.0843982136565786","5747.0","5748.0","1.0843982136565786","1","0","0","0","0","1"
"5748 ? 5749","5730","","1.5649553765461834","5748.0","5749.0","1.5649553765461834","1","0","0","0","0","1"
"5749 ? 5750","5731","","1.337054761206594","5749.0","5750.0","1.337054761206594","1","0","0","0","0","1"
"5750 ? 5751","5732","","1.608565804313114","5750.0","5751.0","1.608565804313114","1","0","0","0","0","1"
"5751 ? 5752","5733","","1.8772661113367217","5751.0","5752.0","1.8772661113367217","1","0","0","0","0","1"
"5752 ? 5753","5734","","2.4287382658164978","5752.0","5753.0","2.4287382658164978","1","0","0","0","0","1"
"5753 ? 5754","5735","","1.028855538350102","5753.0","5754.0","1.028855538350102","1","0","0","0","0","1"
"5754 ? 5755","5736","","0.9777895800969838","5754.0","5755.0","0.9777895800969838","1","0","0","0","0","1"
"5755 ? 5756","5737","","0.3565479363217605","5755.0","5756.0","0.3565479363217605","1","0","0","0","0","1"
"5756 ? 5757","5738","","1.5913740795304894","5756.0","5757.0","1.5913740795304894","1","0","0","0","0","1"
"5757 ? 5758","5739","","2.5987673311231645","5757.0","5758.0","2.5987673311231645","1","0","0","0","0","1"
"5758 ? 5759","5740","","2.6033493517209334","5758.0","5759.0","2.6033493517209334","1","0","0","0","0","1"
"5759 ? 5760","5741","","2.5849725383326683","5759.0","5760.0","2.5849725383326683","1","0","0","0","0","1"
"5760 ? 5761","5742","","0.0","5760.0","5761.0","0.0","1","0","0","0","0","1"
"5761 ? 5762","5743","","1.392752745628595","5761.0","5762.0","1.392752745628595","1","0","0","0","0","1"
"5762 ? 5763","5744","","1.599882632379587","5762.0","5763.0","1.599882632379587","1","0","0","0","0","1"
"5763 ? 5764","5745","","0.8000501197289902","5763.0","5764.0","0.8000501197289902","1","0","0","0","0","1"
"5764 ? 5765","5746","","1.1350592131572974","5764.0","5765.0","1.1350592131572974","1","0","0","0","0","1"
"5765 ? 5766","5747","","3.2866973463338987","5765.0","5766.0","3.2866973463338987","1","0","0","0","0","1"
"5766 ? 5767","5748","","1.2510971906284725","5766.0","5767.0","1.2510971906284725","1","0","0","0","0","1"
"5767 ? 5768","5749","","0.7130958726434926","5767.0","5768.0","0.7130958726434926","1","0","0","0","0","1"
"5768 ? 5769","5750","","0.5042349271823592","5768.0","5769.0","0.5042349271823592","1","0","0","0","0","1"
"5769 ? 5770","5751","","0.25211746359118015","5769.0","5770.0","0.25211746359118015","1","0","0","0","0","1"
"5770 ? 5771","5752","","0.0","5770.0","5771.0","0.0","1","0","0","0","0","1"
"5771 ? 5772","5753","","0.3781761953867997","5771.0","5772.0","0.3781761953867997","1","0","0","0","0","1"
"5772 ? 5773","5754","","0.5707551832171316","5772.0","5773.0","0.5707551832171316","1","0","0","0","0","1"
"5773 ? 5774","5755","","0.0","5773.0","5774.0","0.0","1","0","0","0","0","1"
"5774 ? 5775","5756","","0.8778974810891791","5774.0","5775.0","0.8778974810891791","1","0","0","0","0","1"
"5775 ? 5776","5757","","2.6770005295269046","5775.0","5776.0","2.6770005295269046","1","0","0","0","0","1"
"5776 ? 5777","5758","","1.2260926267602184","5776.0","5777.0","1.2260926267602184","1","0","0","0","0","1"
"5777 ? 5778","5759","","0.08913698408045434","5777.0","5778.0","0.08913698408045434","1","0","0","0","0","1"
"5778 ? 5779","5760","","0.79726542285274","5778.0","5779.0","0.79726542285274","1","0","0","0","0","1"
"5779 ? 5780","5761","","1.6699335937382507","5779.0","5780.0","1.6699335937382507","1","0","0","0","0","1"
"5780 ? 5781","5762","","1.881715135567443","5780.0","5781.0","1.881715135567443","1","0","0","0","0","1"
"5781 ? 5782","5763","","1.9975783601283905","5781.0","5782.0","1.9975783601283905","1","0","0","0","0","1"
"5782 ? 5783","5764","","0.5637517869047485","5782.0","5783.0","0.5637517869047485","1","0","0","0","0","1"
"5783 ? 5784","5765","","0.9177214199752621","5783.0","5784.0","0.9177214199752621","1","0","0","0","0","1"
"5784 ? 5785","5766","","0.5884977139829749","5784.0","5785.0","0.5884977139829749","1","0","0","0","0","1"
"5785 ? 5786","5767","","1.551755290770695","5785.0","5786.0","1.551755290770695","1","0","0","0","0","1"
"5786 ? 5787","5768","","2.5841436782795832","5786.0","5787.0","2.5841436782795832","1","0","0","0","0","1"
"5787 ? 5788","5769","","0.4456849204022225","5787.0","5788.0","0.4456849204022225","1","0","0","0","0","1"
"5788 ? 5789","5770","","1.4289745610946472","5788.0","5789.0","1.4289745610946472","1","0","0","0","0","1"
